Generation: 0. Average fitness: 61 Max size: 67, Max repeated: 1
Generation: 1. Average fitness: 72 Max size: 83, Max repeated: 0
Generation: 2. Average fitness: 77 Max size: 89, Max repeated: 0
Generation: 3. Average fitness: 80 Max size: 89, Max repeated: 1
Generation: 4. Average fitness: 82 Max size: 89, Max repeated: 2
Generation: 5. Average fitness: 84 Max size: 89, Max repeated: 3
Generation: 6. Average fitness: 85 Max size: 91, Max repeated: 0
Generation: 7. Average fitness: 86 Max size: 91, Max repeated: 1
Generation: 8. Average fitness: 87 Max size: 91, Max repeated: 2
Generation: 9. Average fitness: 87 Max size: 91, Max repeated: 3
Generation: 10. Average fitness: 88 Max size: 91, Max repeated: 4
Generation: 11. Average fitness: 89 Max size: 93, Max repeated: 0
Generation: 12. Average fitness: 89 Max size: 93, Max repeated: 1
Generation: 13. Average fitness: 90 Max size: 93, Max repeated: 2
Generation: 14. Average fitness: 90 Max size: 93, Max repeated: 3
Generation: 15. Average fitness: 91 Max size: 94, Max repeated: 0
Generation: 16. Average fitness: 91 Max size: 94, Max repeated: 1
Generation: 17. Average fitness: 91 Max size: 94, Max repeated: 2
Generation: 18. Average fitness: 91 Max size: 94, Max repeated: 3
Generation: 19. Average fitness: 92 Max size: 94, Max repeated: 4
Generation: 20. Average fitness: 92 Max size: 94, Max repeated: 5
Generation: 21. Average fitness: 93 Max size: 94, Max repeated: 6
Generation: 22. Average fitness: 93 Max size: 94, Max repeated: 7
Generation: 23. Average fitness: 93 Max size: 94, Max repeated: 8
Generation: 24. Average fitness: 93 Max size: 94, Max repeated: 9
Generation: 25. Average fitness: 93 Max size: 94, Max repeated: 10
Generation: 26. Average fitness: 93 Max size: 94, Max repeated: 11
Generation: 27. Average fitness: 93 Max size: 94, Max repeated: 12
Generation: 28. Average fitness: 93 Max size: 94, Max repeated: 13
Generation: 29. Average fitness: 93 Max size: 94, Max repeated: 14
Generation: 30. Average fitness: 93 Max size: 94, Max repeated: 15
Generation: 31. Average fitness: 93 Max size: 94, Max repeated: 16
Generation: 32. Average fitness: 93 Max size: 94, Max repeated: 17
Generation: 33. Average fitness: 93 Max size: 94, Max repeated: 18
Generation: 34. Average fitness: 93 Max size: 94, Max repeated: 19
Regenerating population
Generation: 35. Average fitness: 61 Max size: 94, Max repeated: 0
Generation: 36. Average fitness: 71 Max size: 94, Max repeated: 1
Generation: 37. Average fitness: 75 Max size: 94, Max repeated: 2
Generation: 38. Average fitness: 78 Max size: 94, Max repeated: 3
Generation: 39. Average fitness: 81 Max size: 94, Max repeated: 4
Generation: 40. Average fitness: 83 Max size: 94, Max repeated: 5
Generation: 41. Average fitness: 84 Max size: 94, Max repeated: 6
Generation: 42. Average fitness: 86 Max size: 94, Max repeated: 7
Generation: 43. Average fitness: 87 Max size: 94, Max repeated: 8
Generation: 44. Average fitness: 88 Max size: 94, Max repeated: 9
Generation: 45. Average fitness: 89 Max size: 94, Max repeated: 10
Generation: 46. Average fitness: 90 Max size: 94, Max repeated: 11
Generation: 47. Average fitness: 91 Max size: 94, Max repeated: 12
Generation: 48. Average fitness: 91 Max size: 94, Max repeated: 13
Generation: 49. Average fitness: 92 Max size: 94, Max repeated: 14
Generation: 50. Average fitness: 92 Max size: 94, Max repeated: 15
Generation: 51. Average fitness: 92 Max size: 94, Max repeated: 16
Generation: 52. Average fitness: 93 Max size: 94, Max repeated: 17
Generation: 53. Average fitness: 93 Max size: 94, Max repeated: 18
Generation: 54. Average fitness: 93 Max size: 94, Max repeated: 19
Regenerating population
Generation: 55. Average fitness: 61 Max size: 94, Max repeated: 0
Generation: 56. Average fitness: 71 Max size: 94, Max repeated: 1
Generation: 57. Average fitness: 76 Max size: 94, Max repeated: 2
Generation: 58. Average fitness: 80 Max size: 94, Max repeated: 3
Generation: 59. Average fitness: 82 Max size: 94, Max repeated: 4
Generation: 60. Average fitness: 83 Max size: 94, Max repeated: 5
Generation: 61. Average fitness: 84 Max size: 94, Max repeated: 6
Generation: 62. Average fitness: 85 Max size: 94, Max repeated: 7
Generation: 63. Average fitness: 86 Max size: 94, Max repeated: 8
