Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 20.45      0.04     0.04   536583     0.00     0.00  std::operator!=(std::_List_iterator<int> const&, std::_List_iterator<int> const&)
 13.64      0.07     0.03   654608     0.00     0.00  std::_List_node<int>::_M_valptr()
 13.64      0.10     0.03      862     0.03     0.21  find_circular_clique(int, std::vector<int, std::allocator<int> > const&, bool)
  9.09      0.12     0.02  1438074     0.00     0.00  std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > >::operator[](unsigned long)
  6.82      0.14     0.01  1444794     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::operator[](unsigned long)
  4.55      0.15     0.01   536646     0.00     0.00  std::_List_iterator<int>::operator*() const
  4.55      0.16     0.01    66242     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::_M_erase(std::_List_iterator<int>)
  4.55      0.17     0.01    65156     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_put_node(std::_List_node<int>*)
  4.55      0.18     0.01    64414     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<int> > >::operator=(decltype(nullptr))
  2.27      0.18     0.01  1919527     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long) const
  2.27      0.19     0.01   693916     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_addr()
  2.27      0.20     0.01   668933     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_ptr()
  2.27      0.20     0.01   476486     0.00     0.00  std::_List_iterator<int>::operator++()
  2.27      0.20     0.01    61109     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_dec_size(unsigned long)
  2.27      0.21     0.01     4598     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  2.27      0.21     0.01      437     0.01     0.01  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::size() const
  2.27      0.22     0.01        1     5.00     5.00  __gnu_cxx::new_allocator<unsigned char>::max_size() const
  0.00      0.22     0.00   311024     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.22     0.00   272666     0.00     0.00  std::_List_iterator<int>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.22     0.00   135744     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_get_Node_allocator()
  0.00      0.22     0.00   135418     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00      0.22     0.00    94184     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.22     0.00    92118     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::end()
  0.00      0.22     0.00    70169     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<int> >::destroy<int>(int*)
  0.00      0.22     0.00    69965     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<int> > >::__allocated_ptr(std::allocator<std::_List_node<int> >&, std::_List_node<int>*)
  0.00      0.22     0.00    68895     0.00     0.00  std::_List_node<int>* std::__cxx11::list<int, std::allocator<int> >::_M_create_node<int const&>(int const&)
  0.00      0.22     0.00    68770     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::_M_max_size() const
  0.00      0.22     0.00    67843     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::push_back(int const&)
  0.00      0.22     0.00    67798     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::deallocate(std::_List_node<int>*, unsigned long)
  0.00      0.22     0.00    67683     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::allocate(unsigned long, void const*)
  0.00      0.22     0.00    66649     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_inc_size(unsigned long)
  0.00      0.22     0.00    66539     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<int> >::construct<int, int const&>(int*, int const&)
  0.00      0.22     0.00    66113     0.00     0.00  void std::allocator_traits<std::allocator<std::_List_node<int> > >::construct<int, int const&>(std::allocator<std::_List_node<int> >&, int*, int const&)
  0.00      0.22     0.00    65997     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_get_node()
  0.00      0.22     0.00    65956     0.00     0.00  std::_List_const_iterator<int>::_M_const_cast() const
  0.00      0.22     0.00    65927     0.00     0.00  void std::__cxx11::list<int, std::allocator<int> >::_M_insert<int const&>(std::_List_iterator<int>, int const&)
  0.00      0.22     0.00    65055     0.00     0.00  std::allocator<std::_List_node<int> >* std::__addressof<std::allocator<std::_List_node<int> > >(std::allocator<std::_List_node<int> >&)
  0.00      0.22     0.00    64879     0.00     0.00  std::allocator_traits<std::allocator<std::_List_node<int> > >::allocate(std::allocator<std::_List_node<int> >&, unsigned long)
  0.00      0.22     0.00    64192     0.00     0.00  std::_List_const_iterator<int>::_List_const_iterator(std::_List_iterator<int> const&)
  0.00      0.22     0.00    63240     0.00     0.00  std::allocator_traits<std::allocator<std::_List_node<int> > >::deallocate(std::allocator<std::_List_node<int> >&, std::_List_node<int>*, unsigned long)
  0.00      0.22     0.00    62359     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<int> > >::~__allocated_ptr()
  0.00      0.22     0.00    61986     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::erase(std::_List_const_iterator<int>)
  0.00      0.22     0.00    59675     0.00     0.00  void std::allocator_traits<std::allocator<std::_List_node<int> > >::destroy<int>(std::allocator<std::_List_node<int> >&, int*)
  0.00      0.22     0.00    44161     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::begin()
  0.00      0.22     0.00    28193     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.00      0.22     0.00    27787     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      0.22     0.00    26521     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_get_size() const
  0.00      0.22     0.00    26084     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::size() const
  0.00      0.22     0.00    26065     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
  0.00      0.22     0.00    24212     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::_M_node_count() const
  0.00      0.22     0.00    16259     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.22     0.00    10143     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const
  0.00      0.22     0.00     8760     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.00      0.22     0.00     6633     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      0.22     0.00     6366     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.22     0.00     6311     0.00     0.00  bool __gnu_cxx::operator!=<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.22     0.00     5836     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      0.22     0.00     5724     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.22     0.00     4960     0.00     0.00  unsigned long&& std::forward<unsigned long>(std::remove_reference<unsigned long>::type&)
  0.00      0.22     0.00     4857     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator++()
  0.00      0.22     0.00     4725     0.00     0.00  __gnu_cxx::new_allocator<int>::_M_max_size() const
  0.00      0.22     0.00     4390     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      0.22     0.00     4100     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      0.22     0.00     3964     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00      0.22     0.00     3909     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.00      0.22     0.00     3340     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      0.22     0.00     3333     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      0.22     0.00     3332     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      0.22     0.00     3332     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      0.22     0.00     3248     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      0.22     0.00     3225     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      0.22     0.00     2988     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator+(long) const
  0.00      0.22     0.00     2920     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<int> >, std::is_move_constructible<int>, std::is_move_assignable<int> >::value, void>::type std::swap<int>(int&, int&)
  0.00      0.22     0.00     2904     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.22     0.00     2780     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.00      0.22     0.00     2771     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00      0.22     0.00     2730     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      0.22     0.00     2723     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      0.22     0.00     2711     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      0.22     0.00     2614     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  0.00      0.22     0.00     2560     0.00     0.00  std::uniform_int_distribution<unsigned long>::param_type::a() const
