Name |V| |E| ω(G)
frb30-15-1 400 83198 30∗
frb30-15-2 400 83151 30∗
frb30-15-3 400 83216 30∗
frb30-15-4 400 83194 30∗
frb30-15-5 400 83231 30∗
frb35-17-1 595 148859 35∗
frb35-17-2 595 148868 35∗
frb35-17-3 595 148784 35∗
frb35-17-4 595 148873 35∗
frb35-17-5 595 148572 35∗
frb40-19-1 760 247106 40∗
frb40-19-2 760 247157 40∗
frb40-19-3 760 247325 40∗
frb40-19-4 760 246815 40∗
frb40-19-5 760 246801 40∗
frb45-21-1 945 386854 45∗
frb45-21-2 945 387416 45∗
frb45-21-3 945 387795 45∗
frb45-21-4 945 387491 45∗
frb45-21-5 945 387461 45∗
frb50-23-1 1150 580603 50∗
frb50-23-2 1150 579824 50∗
frb50-23-3 1150 579607 50∗
frb50-23-4 1150 580417 50∗
frb50-23-5 1150 580640 50∗
frb53-24-1 1272 714129 53∗
frb53-24-2 1272 714067 53∗
frb53-24-3 1272 714229 53∗
frb53-24-4 1272 714048 53∗
frb53-24-5 1272 714130 53∗
frb56-25-1 1400 869624 56∗
frb56-25-2 1400 869899 56∗
frb56-25-3 1400 869921 56∗
frb56-25-4 1400 869262 56∗
frb56-25-5 1400 869699 56∗
frb59-26-1 1534 1049256 59∗
frb59-26-2 1534 1049648 59∗
frb59-26-3 1534 1049729 59∗
frb59-26-4 1534 1048800 59∗
frb59-26-5 1534 1049829 59∗
