Name |V| |E| ω(G)
brock200_1 200 14834 21∗
brock200_2 200 9876 12∗
brock200_3 200 12048 15∗
brock200_4 200 13089 17∗
brock400_1 400 59723 27∗
brock400_2 400 59786 29∗
brock400_3 400 59681 31∗
brock400_4 400 59765 33∗
brock800_1 800 207505 23∗
brock800_2 800 208166 24∗
brock800_3 800 207333 25∗
brock800_4 800 207643 26∗
C125.9 125 6963 34∗
C250.9 250 27984 44∗
C500.9 500 112332 >=57
C1000.9 1000 450079 >=68
C2000.5 2000 999836 16∗
C2000.9 2000 1799532 >=80
C4000.5 4000 4000268 18∗
DSJC500.5 500 125248 13∗
DSJC1000.5 1000 499652 15∗
keller4 171 9435 11∗
keller5 776 225990 27∗
keller6 3361 4619898 59∗
MANN_a9 45 918 16∗
MANN_a27 378 70551 126∗
MANN_a45 1035 533115 345∗
MANN_a81 3321 5506380 1100∗
hamming6-2 64 1824 32∗
hamming6-4 64 704 4∗
hamming8-2 256 31616 128∗
hamming8-4 256 20864 16∗
hamming10-2 1024 518656 512∗
hamming10-4 1024 434176 >=40
gen200-p0.9-44 200 17910 44∗
gen200-p0.9-55 200 17910 55∗
gen400-p0.9-55 400 71820 55∗
gen400-p0.9-65 400 71820 65∗
gen400-p0.9-75 400 71820 75∗
c-fat200-1 200 1534 12∗
c-fat200-2 200 3235 24∗
c-fat200-5 200 8473 58∗
c-fat500-1 500 4459 14∗
c-fat500-2 500 9139 26∗
c-fat500-5 500 23191 64∗
c-fat500-10 500 46627 126∗
johnson8-2-4 28 210 4∗
johnson8-4-4 70 1855 14∗
johnson16-2-4 120 5460 8∗
johnson32-2-4 496 107880 >=16
p_hat300-1 300 10933 8∗
p_hat300-2 300 21928 25∗
p_hat300-3 300 33390 36∗
p_hat500-1 500 31569 9∗
p_hat500-2 500 62946 36∗
p_hat500-3 500 93800 50∗
p_hat700-1 700 60999 11∗
p_hat700-2 700 121728 44∗
p_hat700-3 700 183010 62∗
p_hat1000-1 1000 122253 10∗
p_hat1000-2 1000 244799 46∗
p_hat1000-3 1000 371746 68∗
p_hat1500-1 1500 284923 12∗
p_hat1500-2 1500 568960 65∗
p_hat1500-3 1500 847244 94∗
san200_0.7_1 200 13930 30∗
san200_0.7_2 200 13930 18∗
san200_0.9_1 200 17910 70∗
san200_0.9_2 200 17910 60∗
san200_0.9_3 200 17910 44∗
san400_0.5_1 400 39900 13∗
san400_0.7_1 400 55860 40∗
san400_0.7_2 400 55860 30∗
san400_0.7_3 400 55860 22∗
san400_0.9_1 400 71820 100∗
san1000 1000 250500 15∗
sanr200_0.7 200 13868 18∗
sanr200_0.9 200 17863 42∗
sanr400_0.5 400 39984 13∗
sanr400_0.7 400 55869 21∗
