Name |V| |E| ω(G)
chv12x10 120 6595 20∗
myc5x24 120 6904 48∗
myc11x11 121 6752 22∗
s3m25x5 125 6877 20∗
myc23x6 138 8211 12∗
myc5x30 150 10837 60∗
s3m25x6 150 10073 24∗
myc11x14 154 11080 28∗
chv12x15 180 15166 30∗
myc5x36 180 15671 72∗
myc23x8 184 15072 16∗
myc11x17 187 16490 34∗
s3m25x8 200 18350 32∗
myc5x42 210 21404 84∗
myc11x20 220 22960 40∗
myc23x10 230 24072 20∗
chv12x20 240 27328 40∗
myc5x48 240 27962 96∗
s3m25x10 250 29075 40∗
myc11x23 253 30422 46∗
chv12x30 360 62211 60∗
chv12x40 480 111059 80∗
chv12x60 720 251269 120∗
myc5x60 300 43659 120∗
myc5x80 400 77893 160∗
myc5x100 500 121781 200∗
myc5x120 600 175458 240∗
myc5x140 700 239044 280∗
myc11x30 330 52214 60∗
myc11x40 440 93327 80∗
myc11x50 550 146280 100∗
myc11x60 660 210997 120∗
myc23x15 345 55464 30∗
myc23x20 460 99896 40∗
myc23x25 575 157359 50∗
myc23x30 690 227595 60∗
s3m25x15 375 66480 60∗
s3m25x20 500 119354 80∗
s3m25x25 625 187499 100∗
s3m25x30 750 270928 120∗
