Generation: 0. Average fitness: 74 Max size: 78, Max repeated: 1
Generation: 1. Average fitness: 75 Max size: 79, Max repeated: 1
Generation: 2. Average fitness: 75 Max size: 79, Max repeated: 1
Generation: 3. Average fitness: 75 Max size: 79, Max repeated: 2
Generation: 4. Average fitness: 75 Max size: 79, Max repeated: 3
Generation: 5. Average fitness: 76 Max size: 79, Max repeated: 4
Generation: 6. Average fitness: 76 Max size: 80, Max repeated: 5
Generation: 7. Average fitness: 76 Max size: 80, Max repeated: 1
Generation: 8. Average fitness: 76 Max size: 80, Max repeated: 2
Generation: 9. Average fitness: 76 Max size: 80, Max repeated: 3
Generation: 10. Average fitness: 76 Max size: 81, Max repeated: 4
Generation: 11. Average fitness: 77 Max size: 81, Max repeated: 1
Generation: 12. Average fitness: 76 Max size: 82, Max repeated: 2
Generation: 13. Average fitness: 77 Max size: 82, Max repeated: 1
Generation: 14. Average fitness: 77 Max size: 82, Max repeated: 2
Generation: 15. Average fitness: 78 Max size: 82, Max repeated: 3
Generation: 16. Average fitness: 78 Max size: 82, Max repeated: 4
Generation: 17. Average fitness: 80 Max size: 82, Max repeated: 5
Generation: 18. Average fitness: 81 Max size: 83, Max repeated: 6
Generation: 19. Average fitness: 81 Max size: 83, Max repeated: 1
Generation: 20. Average fitness: 82 Max size: 83, Max repeated: 2
Generation: 21. Average fitness: 82 Max size: 83, Max repeated: 3
Generation: 22. Average fitness: 82 Max size: 83, Max repeated: 4
Generation: 23. Average fitness: 82 Max size: 83, Max repeated: 5
Generation: 24. Average fitness: 82 Max size: 83, Max repeated: 6
Generation: 25. Average fitness: 83 Max size: 83, Max repeated: 7
Generation: 26. Average fitness: 83 Max size: 83, Max repeated: 8
Generation: 27. Average fitness: 82 Max size: 83, Max repeated: 9
Generation: 28. Average fitness: 82 Max size: 83, Max repeated: 10
Generation: 29. Average fitness: 83 Max size: 83, Max repeated: 11
Generation: 30. Average fitness: 82 Max size: 83, Max repeated: 12
Generation: 31. Average fitness: 82 Max size: 83, Max repeated: 13
Generation: 32. Average fitness: 82 Max size: 83, Max repeated: 14
