Gen: 0. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 1
Gen: 1. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 1
Gen: 2. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 2
Gen: 3. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 3
Gen: 4. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 4
Gen: 5. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 5
Gen: 6. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 6
Gen: 7. Avg: 14, Gen Max: 16, Max: 16, Gen. Max Repeated: 7
Gen: 8. Avg: 14, Gen Max: 16, Max: 16, Gen. Max Repeated: 1
Gen: 9. Avg: 14, Gen Max: 16, Max: 16, Gen. Max Repeated: 2
Gen: 10. Avg: 14, Gen Max: 16, Max: 16, Gen. Max Repeated: 3
Gen: 11. Avg: 14, Gen Max: 16, Max: 16, Gen. Max Repeated: 4
Gen: 12. Avg: 14, Gen Max: 16, Max: 16, Gen. Max Repeated: 5
Gen: 13. Avg: 14, Gen Max: 16, Max: 16, Gen. Max Repeated: 6
Gen: 14. Avg: 14, Gen Max: 16, Max: 16, Gen. Max Repeated: 7
Gen: 15. Avg: 14, Gen Max: 16, Max: 16, Gen. Max Repeated: 8
Gen: 16. Avg: 14, Gen Max: 16, Max: 16, Gen. Max Repeated: 9
Gen: 17. Avg: 14, Gen Max: 16, Max: 16, Gen. Max Repeated: 10
Gen: 18. Avg: 14, Gen Max: 16, Max: 16, Gen. Max Repeated: 11
Gen: 19. Avg: 14, Gen Max: 16, Max: 16, Gen. Max Repeated: 12
Gen: 20. Avg: 15, Gen Max: 16, Max: 16, Gen. Max Repeated: 13
Gen: 21. Avg: 15, Gen Max: 16, Max: 16, Gen. Max Repeated: 14
Gen: 22. Avg: 15, Gen Max: 16, Max: 16, Gen. Max Repeated: 15
Gen: 23. Avg: 15, Gen Max: 16, Max: 16, Gen. Max Repeated: 16
Gen: 24. Avg: 15, Gen Max: 16, Max: 16, Gen. Max Repeated: 17
Gen: 25. Avg: 15, Gen Max: 16, Max: 16, Gen. Max Repeated: 18
Gen: 26. Avg: 15, Gen Max: 16, Max: 16, Gen. Max Repeated: 19
Regenerating population
Gen: 27. Avg: 14, Gen Max: 15, Max: 16, Gen. Max Repeated: 1
Gen: 28. Avg: 14, Gen Max: 15, Max: 16, Gen. Max Repeated: 1
Gen: 29. Avg: 14, Gen Max: 15, Max: 16, Gen. Max Repeated: 2
Gen: 30. Avg: 14, Gen Max: 15, Max: 16, Gen. Max Repeated: 3
Gen: 31. Avg: 14, Gen Max: 15, Max: 16, Gen. Max Repeated: 4
Gen: 32. Avg: 14, Gen Max: 15, Max: 16, Gen. Max Repeated: 5
Gen: 33. Avg: 14, Gen Max: 15, Max: 16, Gen. Max Repeated: 6
Gen: 34. Avg: 14, Gen Max: 15, Max: 16, Gen. Max Repeated: 7
Gen: 35. Avg: 14, Gen Max: 15, Max: 16, Gen. Max Repeated: 8
Gen: 36. Avg: 14, Gen Max: 15, Max: 16, Gen. Max Repeated: 9
Gen: 37. Avg: 14, Gen Max: 15, Max: 16, Gen. Max Repeated: 10
Gen: 38. Avg: 14, Gen Max: 15, Max: 16, Gen. Max Repeated: 11
Gen: 39. Avg: 14, Gen Max: 16, Max: 16, Gen. Max Repeated: 12
Gen: 40. Avg: 14, Gen Max: 16, Max: 16, Gen. Max Repeated: 1
Gen: 41. Avg: 14, Gen Max: 16, Max: 16, Gen. Max Repeated: 2
Gen: 42. Avg: 14, Gen Max: 16, Max: 16, Gen. Max Repeated: 3
Gen: 43. Avg: 14, Gen Max: 16, Max: 16, Gen. Max Repeated: 4
Gen: 44. Avg: 14, Gen Max: 16, Max: 16, Gen. Max Repeated: 5
Gen: 45. Avg: 14, Gen Max: 16, Max: 16, Gen. Max Repeated: 6
Gen: 46. Avg: 14, Gen Max: 16, Max: 16, Gen. Max Repeated: 7
Gen: 47. Avg: 14, Gen Max: 16, Max: 16, Gen. Max Repeated: 8
Gen: 48. Avg: 14, Gen Max: 16, Max: 16, Gen. Max Repeated: 9
Gen: 49. Avg: 14, Gen Max: 16, Max: 16, Gen. Max Repeated: 10
Gen: 50. Avg: 14, Gen Max: 16, Max: 16, Gen. Max Repeated: 11
Gen: 51. Avg: 14, Gen Max: 16, Max: 16, Gen. Max Repeated: 12
Gen: 52. Avg: 14, Gen Max: 16, Max: 16, Gen. Max Repeated: 13
Gen: 53. Avg: 14, Gen Max: 16, Max: 16, Gen. Max Repeated: 14
Gen: 54. Avg: 14, Gen Max: 16, Max: 16, Gen. Max Repeated: 15
Gen: 55. Avg: 14, Gen Max: 16, Max: 16, Gen. Max Repeated: 16
Gen: 56. Avg: 14, Gen Max: 16, Max: 16, Gen. Max Repeated: 17
Gen: 57. Avg: 14, Gen Max: 16, Max: 16, Gen. Max Repeated: 18
Gen: 58. Avg: 14, Gen Max: 16, Max: 16, Gen. Max Repeated: 19
Regenerating population
Gen: 59. Avg: 14, Gen Max: 15, Max: 16, Gen. Max Repeated: 1
Gen: 60. Avg: 14, Gen Max: 15, Max: 16, Gen. Max Repeated: 1
Gen: 61. Avg: 14, Gen Max: 15, Max: 16, Gen. Max Repeated: 2
Gen: 62. Avg: 14, Gen Max: 15, Max: 16, Gen. Max Repeated: 3
Gen: 63. Avg: 14, Gen Max: 15, Max: 16, Gen. Max Repeated: 4
Gen: 64. Avg: 14, Gen Max: 15, Max: 16, Gen. Max Repeated: 5
Gen: 65. Avg: 14, Gen Max: 15, Max: 16, Gen. Max Repeated: 6
Gen: 66. Avg: 14, Gen Max: 15, Max: 16, Gen. Max Repeated: 7
Gen: 67. Avg: 14, Gen Max: 15, Max: 16, Gen. Max Repeated: 8
Gen: 68. Avg: 14, Gen Max: 15, Max: 16, Gen. Max Repeated: 9
Gen: 69. Avg: 14, Gen Max: 15, Max: 16, Gen. Max Repeated: 10
Gen: 70. Avg: 14, Gen Max: 15, Max: 16, Gen. Max Repeated: 11
Gen: 71. Avg: 14, Gen Max: 16, Max: 16, Gen. Max Repeated: 12
Gen: 72. Avg: 14, Gen Max: 16, Max: 16, Gen. Max Repeated: 1
Gen: 73. Avg: 14, Gen Max: 16, Max: 16, Gen. Max Repeated: 2
Gen: 74. Avg: 14, Gen Max: 16, Max: 16, Gen. Max Repeated: 3
Gen: 75. Avg: 14, Gen Max: 16, Max: 16, Gen. Max Repeated: 4
Gen: 76. Avg: 14, Gen Max: 16, Max: 16, Gen. Max Repeated: 5
Gen: 77. Avg: 14, Gen Max: 16, Max: 16, Gen. Max Repeated: 6
Gen: 78. Avg: 14, Gen Max: 16, Max: 16, Gen. Max Repeated: 7
Gen: 79. Avg: 14, Gen Max: 16, Max: 16, Gen. Max Repeated: 8
Gen: 80. Avg: 14, Gen Max: 16, Max: 16, Gen. Max Repeated: 9
Gen: 81. Avg: 15, Gen Max: 16, Max: 16, Gen. Max Repeated: 10
Gen: 82. Avg: 15, Gen Max: 16, Max: 16, Gen. Max Repeated: 11
Gen: 83. Avg: 15, Gen Max: 16, Max: 16, Gen. Max Repeated: 12
Gen: 84. Avg: 15, Gen Max: 16, Max: 16, Gen. Max Repeated: 13
Gen: 85. Avg: 15, Gen Max: 16, Max: 16, Gen. Max Repeated: 14
Gen: 86. Avg: 15, Gen Max: 16, Max: 16, Gen. Max Repeated: 15
Gen: 87. Avg: 15, Gen Max: 16, Max: 16, Gen. Max Repeated: 16
Gen: 88. Avg: 15, Gen Max: 16, Max: 16, Gen. Max Repeated: 17
Gen: 89. Avg: 16, Gen Max: 16, Max: 16, Gen. Max Repeated: 18
Gen: 90. Avg: 15, Gen Max: 16, Max: 16, Gen. Max Repeated: 19
Regenerating population
Gen: 91. Avg: 13, Gen Max: 15, Max: 16, Gen. Max Repeated: 1
Gen: 92. Avg: 14, Gen Max: 15, Max: 16, Gen. Max Repeated: 1
Gen: 93. Avg: 14, Gen Max: 15, Max: 16, Gen. Max Repeated: 2
Gen: 94. Avg: 14, Gen Max: 15, Max: 16, Gen. Max Repeated: 3
Gen: 95. Avg: 14, Gen Max: 15, Max: 16, Gen. Max Repeated: 4
Gen: 96. Avg: 14, Gen Max: 15, Max: 16, Gen. Max Repeated: 5
Gen: 97. Avg: 14, Gen Max: 15, Max: 16, Gen. Max Repeated: 6
Gen: 98. Avg: 14, Gen Max: 15, Max: 16, Gen. Max Repeated: 7
Gen: 99. Avg: 14, Gen Max: 16, Max: 16, Gen. Max Repeated: 8
Gen: 100. Avg: 14, Gen Max: 16, Max: 16, Gen. Max Repeated: 1
