Gen: 0. Avg: 122, Gen Max: 124, Max: 124, Gen. Max Repeated: 1
Gen: 1. Avg: 123, Gen Max: 125, Max: 125, Gen. Max Repeated: 1
Gen: 2. Avg: 123, Gen Max: 125, Max: 125, Gen. Max Repeated: 1
Gen: 3. Avg: 123, Gen Max: 125, Max: 125, Gen. Max Repeated: 2
Gen: 4. Avg: 123, Gen Max: 126, Max: 126, Gen. Max Repeated: 3
Gen: 5. Avg: 123, Gen Max: 126, Max: 126, Gen. Max Repeated: 1
Gen: 6. Avg: 123, Gen Max: 126, Max: 126, Gen. Max Repeated: 2
Gen: 7. Avg: 123, Gen Max: 126, Max: 126, Gen. Max Repeated: 3
Gen: 8. Avg: 123, Gen Max: 126, Max: 126, Gen. Max Repeated: 4
Gen: 9. Avg: 124, Gen Max: 126, Max: 126, Gen. Max Repeated: 5
Gen: 10. Avg: 124, Gen Max: 126, Max: 126, Gen. Max Repeated: 6
Gen: 11. Avg: 123, Gen Max: 126, Max: 126, Gen. Max Repeated: 7
Gen: 12. Avg: 123, Gen Max: 126, Max: 126, Gen. Max Repeated: 8
Gen: 13. Avg: 123, Gen Max: 126, Max: 126, Gen. Max Repeated: 9
Gen: 14. Avg: 123, Gen Max: 126, Max: 126, Gen. Max Repeated: 10
Gen: 15. Avg: 123, Gen Max: 126, Max: 126, Gen. Max Repeated: 11
Gen: 16. Avg: 123, Gen Max: 126, Max: 126, Gen. Max Repeated: 12
Gen: 17. Avg: 123, Gen Max: 126, Max: 126, Gen. Max Repeated: 13
Gen: 18. Avg: 123, Gen Max: 126, Max: 126, Gen. Max Repeated: 14
Gen: 19. Avg: 123, Gen Max: 126, Max: 126, Gen. Max Repeated: 15
Gen: 20. Avg: 123, Gen Max: 126, Max: 126, Gen. Max Repeated: 16
Gen: 21. Avg: 123, Gen Max: 126, Max: 126, Gen. Max Repeated: 17
Gen: 22. Avg: 124, Gen Max: 126, Max: 126, Gen. Max Repeated: 18
Gen: 23. Avg: 123, Gen Max: 126, Max: 126, Gen. Max Repeated: 19
Regenerating population
Gen: 24. Avg: 122, Gen Max: 125, Max: 126, Gen. Max Repeated: 1
Gen: 25. Avg: 123, Gen Max: 125, Max: 126, Gen. Max Repeated: 1
Gen: 26. Avg: 123, Gen Max: 125, Max: 126, Gen. Max Repeated: 2
Gen: 27. Avg: 123, Gen Max: 125, Max: 126, Gen. Max Repeated: 3
Gen: 28. Avg: 123, Gen Max: 125, Max: 126, Gen. Max Repeated: 4
Gen: 29. Avg: 123, Gen Max: 125, Max: 126, Gen. Max Repeated: 5
Gen: 30. Avg: 123, Gen Max: 125, Max: 126, Gen. Max Repeated: 6
Gen: 31. Avg: 123, Gen Max: 125, Max: 126, Gen. Max Repeated: 7
Gen: 32. Avg: 123, Gen Max: 125, Max: 126, Gen. Max Repeated: 8
Gen: 33. Avg: 123, Gen Max: 125, Max: 126, Gen. Max Repeated: 9
Gen: 34. Avg: 123, Gen Max: 125, Max: 126, Gen. Max Repeated: 10
Gen: 35. Avg: 123, Gen Max: 125, Max: 126, Gen. Max Repeated: 11
Gen: 36. Avg: 123, Gen Max: 125, Max: 126, Gen. Max Repeated: 12
