Gen: 0. Avg: 42, Gen Max: 45, Max: 45, Gen. Max Repeated: 1
Gen: 1. Avg: 43, Gen Max: 48, Max: 48, Gen. Max Repeated: 1
Gen: 2. Avg: 44, Gen Max: 48, Max: 48, Gen. Max Repeated: 1
Gen: 3. Avg: 44, Gen Max: 48, Max: 48, Gen. Max Repeated: 2
Gen: 4. Avg: 44, Gen Max: 49, Max: 49, Gen. Max Repeated: 3
Gen: 5. Avg: 45, Gen Max: 50, Max: 50, Gen. Max Repeated: 1
Gen: 6. Avg: 45, Gen Max: 50, Max: 50, Gen. Max Repeated: 1
Gen: 7. Avg: 46, Gen Max: 51, Max: 51, Gen. Max Repeated: 2
Gen: 8. Avg: 47, Gen Max: 51, Max: 51, Gen. Max Repeated: 1
Gen: 9. Avg: 47, Gen Max: 51, Max: 51, Gen. Max Repeated: 2
Gen: 10. Avg: 48, Gen Max: 51, Max: 51, Gen. Max Repeated: 3
Gen: 11. Avg: 49, Gen Max: 51, Max: 51, Gen. Max Repeated: 4
Gen: 12. Avg: 50, Gen Max: 51, Max: 51, Gen. Max Repeated: 5
Gen: 13. Avg: 50, Gen Max: 51, Max: 51, Gen. Max Repeated: 6
Gen: 14. Avg: 50, Gen Max: 52, Max: 52, Gen. Max Repeated: 7
Gen: 15. Avg: 50, Gen Max: 52, Max: 52, Gen. Max Repeated: 1
Gen: 16. Avg: 50, Gen Max: 52, Max: 52, Gen. Max Repeated: 2
Gen: 17. Avg: 51, Gen Max: 52, Max: 52, Gen. Max Repeated: 3
Gen: 18. Avg: 51, Gen Max: 52, Max: 52, Gen. Max Repeated: 4
Gen: 19. Avg: 51, Gen Max: 52, Max: 52, Gen. Max Repeated: 5
Gen: 20. Avg: 51, Gen Max: 52, Max: 52, Gen. Max Repeated: 6
Gen: 21. Avg: 51, Gen Max: 53, Max: 53, Gen. Max Repeated: 7
Gen: 22. Avg: 51, Gen Max: 53, Max: 53, Gen. Max Repeated: 1
Gen: 23. Avg: 51, Gen Max: 53, Max: 53, Gen. Max Repeated: 2
Gen: 24. Avg: 51, Gen Max: 53, Max: 53, Gen. Max Repeated: 3
Gen: 25. Avg: 52, Gen Max: 53, Max: 53, Gen. Max Repeated: 4
Gen: 26. Avg: 52, Gen Max: 53, Max: 53, Gen. Max Repeated: 5
Gen: 27. Avg: 52, Gen Max: 53, Max: 53, Gen. Max Repeated: 6
Gen: 28. Avg: 52, Gen Max: 53, Max: 53, Gen. Max Repeated: 7
Gen: 29. Avg: 52, Gen Max: 53, Max: 53, Gen. Max Repeated: 8
Gen: 30. Avg: 52, Gen Max: 53, Max: 53, Gen. Max Repeated: 9
Gen: 31. Avg: 53, Gen Max: 53, Max: 53, Gen. Max Repeated: 10
Gen: 32. Avg: 53, Gen Max: 53, Max: 53, Gen. Max Repeated: 11
Gen: 33. Avg: 53, Gen Max: 53, Max: 53, Gen. Max Repeated: 12
Gen: 34. Avg: 52, Gen Max: 53, Max: 53, Gen. Max Repeated: 13
Gen: 35. Avg: 53, Gen Max: 53, Max: 53, Gen. Max Repeated: 14
Gen: 36. Avg: 53, Gen Max: 53, Max: 53, Gen. Max Repeated: 15
Gen: 37. Avg: 52, Gen Max: 53, Max: 53, Gen. Max Repeated: 16
Gen: 38. Avg: 53, Gen Max: 53, Max: 53, Gen. Max Repeated: 17
Gen: 39. Avg: 53, Gen Max: 53, Max: 53, Gen. Max Repeated: 18
Gen: 40. Avg: 53, Gen Max: 53, Max: 53, Gen. Max Repeated: 19
Regenerating population
Gen: 41. Avg: 42, Gen Max: 45, Max: 53, Gen. Max Repeated: 1
Gen: 42. Avg: 43, Gen Max: 46, Max: 53, Gen. Max Repeated: 1
Gen: 43. Avg: 43, Gen Max: 48, Max: 53, Gen. Max Repeated: 1
Gen: 44. Avg: 44, Gen Max: 48, Max: 53, Gen. Max Repeated: 1
Gen: 45. Avg: 44, Gen Max: 49, Max: 53, Gen. Max Repeated: 2
Gen: 46. Avg: 45, Gen Max: 49, Max: 53, Gen. Max Repeated: 1
Gen: 47. Avg: 45, Gen Max: 50, Max: 53, Gen. Max Repeated: 2
Gen: 48. Avg: 46, Gen Max: 51, Max: 53, Gen. Max Repeated: 1
Gen: 49. Avg: 46, Gen Max: 51, Max: 53, Gen. Max Repeated: 1
Gen: 50. Avg: 46, Gen Max: 51, Max: 53, Gen. Max Repeated: 2
Gen: 51. Avg: 47, Gen Max: 53, Max: 53, Gen. Max Repeated: 3
Gen: 52. Avg: 48, Gen Max: 53, Max: 53, Gen. Max Repeated: 1
Gen: 53. Avg: 48, Gen Max: 53, Max: 53, Gen. Max Repeated: 2
Gen: 54. Avg: 48, Gen Max: 53, Max: 53, Gen. Max Repeated: 3
Gen: 55. Avg: 49, Gen Max: 53, Max: 53, Gen. Max Repeated: 4
Gen: 56. Avg: 51, Gen Max: 53, Max: 53, Gen. Max Repeated: 5
Gen: 57. Avg: 51, Gen Max: 53, Max: 53, Gen. Max Repeated: 6
Gen: 58. Avg: 52, Gen Max: 53, Max: 53, Gen. Max Repeated: 7
Gen: 59. Avg: 52, Gen Max: 53, Max: 53, Gen. Max Repeated: 8
Gen: 60. Avg: 52, Gen Max: 53, Max: 53, Gen. Max Repeated: 9
Gen: 61. Avg: 52, Gen Max: 53, Max: 53, Gen. Max Repeated: 10
Gen: 62. Avg: 52, Gen Max: 54, Max: 54, Gen. Max Repeated: 11
Gen: 63. Avg: 52, Gen Max: 54, Max: 54, Gen. Max Repeated: 1
Gen: 64. Avg: 52, Gen Max: 54, Max: 54, Gen. Max Repeated: 2
Gen: 65. Avg: 52, Gen Max: 54, Max: 54, Gen. Max Repeated: 3
Gen: 66. Avg: 52, Gen Max: 55, Max: 55, Gen. Max Repeated: 4
Gen: 67. Avg: 52, Gen Max: 55, Max: 55, Gen. Max Repeated: 1
Gen: 68. Avg: 53, Gen Max: 55, Max: 55, Gen. Max Repeated: 2
Gen: 69. Avg: 53, Gen Max: 55, Max: 55, Gen. Max Repeated: 3
Gen: 70. Avg: 53, Gen Max: 55, Max: 55, Gen. Max Repeated: 4
Gen: 71. Avg: 54, Gen Max: 55, Max: 55, Gen. Max Repeated: 5
Gen: 72. Avg: 54, Gen Max: 55, Max: 55, Gen. Max Repeated: 6
Gen: 73. Avg: 54, Gen Max: 55, Max: 55, Gen. Max Repeated: 7
Gen: 74. Avg: 54, Gen Max: 55, Max: 55, Gen. Max Repeated: 8
Gen: 75. Avg: 55, Gen Max: 55, Max: 55, Gen. Max Repeated: 9
Gen: 76. Avg: 54, Gen Max: 55, Max: 55, Gen. Max Repeated: 10
Gen: 77. Avg: 54, Gen Max: 55, Max: 55, Gen. Max Repeated: 11
Gen: 78. Avg: 54, Gen Max: 55, Max: 55, Gen. Max Repeated: 12
Gen: 79. Avg: 55, Gen Max: 55, Max: 55, Gen. Max Repeated: 13
Gen: 80. Avg: 54, Gen Max: 55, Max: 55, Gen. Max Repeated: 14
Gen: 81. Avg: 55, Gen Max: 55, Max: 55, Gen. Max Repeated: 15
Gen: 82. Avg: 54, Gen Max: 55, Max: 55, Gen. Max Repeated: 16
Gen: 83. Avg: 54, Gen Max: 55, Max: 55, Gen. Max Repeated: 17
Gen: 84. Avg: 54, Gen Max: 55, Max: 55, Gen. Max Repeated: 18
Gen: 85. Avg: 54, Gen Max: 55, Max: 55, Gen. Max Repeated: 19
Regenerating population
Gen: 86. Avg: 42, Gen Max: 45, Max: 55, Gen. Max Repeated: 1
Gen: 87. Avg: 43, Gen Max: 46, Max: 55, Gen. Max Repeated: 1
Gen: 88. Avg: 43, Gen Max: 48, Max: 55, Gen. Max Repeated: 1
Gen: 89. Avg: 44, Gen Max: 49, Max: 55, Gen. Max Repeated: 1
Gen: 90. Avg: 44, Gen Max: 49, Max: 55, Gen. Max Repeated: 1
Gen: 91. Avg: 44, Gen Max: 50, Max: 55, Gen. Max Repeated: 2
Gen: 92. Avg: 44, Gen Max: 50, Max: 55, Gen. Max Repeated: 1
Gen: 93. Avg: 45, Gen Max: 50, Max: 55, Gen. Max Repeated: 2
Gen: 94. Avg: 45, Gen Max: 50, Max: 55, Gen. Max Repeated: 3
Gen: 95. Avg: 46, Gen Max: 50, Max: 55, Gen. Max Repeated: 4
Gen: 96. Avg: 46, Gen Max: 50, Max: 55, Gen. Max Repeated: 5
Gen: 97. Avg: 47, Gen Max: 50, Max: 55, Gen. Max Repeated: 6
Gen: 98. Avg: 48, Gen Max: 51, Max: 55, Gen. Max Repeated: 7
Gen: 99. Avg: 48, Gen Max: 51, Max: 55, Gen. Max Repeated: 1
Gen: 100. Avg: 49, Gen Max: 51, Max: 55, Gen. Max Repeated: 2
Gen: 101. Avg: 49, Gen Max: 51, Max: 55, Gen. Max Repeated: 3
Gen: 102. Avg: 50, Gen Max: 51, Max: 55, Gen. Max Repeated: 4
Gen: 103. Avg: 49, Gen Max: 51, Max: 55, Gen. Max Repeated: 5
Gen: 104. Avg: 49, Gen Max: 51, Max: 55, Gen. Max Repeated: 6
Gen: 105. Avg: 50, Gen Max: 51, Max: 55, Gen. Max Repeated: 7
Gen: 106. Avg: 50, Gen Max: 51, Max: 55, Gen. Max Repeated: 8
Gen: 107. Avg: 50, Gen Max: 51, Max: 55, Gen. Max Repeated: 9
Gen: 108. Avg: 50, Gen Max: 51, Max: 55, Gen. Max Repeated: 10
Gen: 109. Avg: 50, Gen Max: 51, Max: 55, Gen. Max Repeated: 11
Gen: 110. Avg: 50, Gen Max: 51, Max: 55, Gen. Max Repeated: 12
Gen: 111. Avg: 50, Gen Max: 51, Max: 55, Gen. Max Repeated: 13
Gen: 112. Avg: 50, Gen Max: 51, Max: 55, Gen. Max Repeated: 14
Gen: 113. Avg: 50, Gen Max: 51, Max: 55, Gen. Max Repeated: 15
Gen: 114. Avg: 50, Gen Max: 51, Max: 55, Gen. Max Repeated: 16
Gen: 115. Avg: 50, Gen Max: 51, Max: 55, Gen. Max Repeated: 17
Gen: 116. Avg: 50, Gen Max: 51, Max: 55, Gen. Max Repeated: 18
Gen: 117. Avg: 50, Gen Max: 51, Max: 55, Gen. Max Repeated: 19
Regenerating population
Gen: 118. Avg: 42, Gen Max: 46, Max: 55, Gen. Max Repeated: 1
Gen: 119. Avg: 43, Gen Max: 46, Max: 55, Gen. Max Repeated: 1
Gen: 120. Avg: 44, Gen Max: 48, Max: 55, Gen. Max Repeated: 2
Gen: 121. Avg: 44, Gen Max: 48, Max: 55, Gen. Max Repeated: 1
Gen: 122. Avg: 45, Gen Max: 49, Max: 55, Gen. Max Repeated: 2
Gen: 123. Avg: 45, Gen Max: 49, Max: 55, Gen. Max Repeated: 1
Gen: 124. Avg: 45, Gen Max: 49, Max: 55, Gen. Max Repeated: 2
Gen: 125. Avg: 46, Gen Max: 49, Max: 55, Gen. Max Repeated: 3
Gen: 126. Avg: 45, Gen Max: 51, Max: 55, Gen. Max Repeated: 4
Gen: 127. Avg: 45, Gen Max: 51, Max: 55, Gen. Max Repeated: 1
Gen: 128. Avg: 46, Gen Max: 51, Max: 55, Gen. Max Repeated: 2
Gen: 129. Avg: 46, Gen Max: 51, Max: 55, Gen. Max Repeated: 3
Gen: 130. Avg: 46, Gen Max: 51, Max: 55, Gen. Max Repeated: 4
Gen: 131. Avg: 46, Gen Max: 51, Max: 55, Gen. Max Repeated: 5
Gen: 132. Avg: 47, Gen Max: 51, Max: 55, Gen. Max Repeated: 6
Gen: 133. Avg: 47, Gen Max: 51, Max: 55, Gen. Max Repeated: 7
Gen: 134. Avg: 47, Gen Max: 51, Max: 55, Gen. Max Repeated: 8
Gen: 135. Avg: 47, Gen Max: 51, Max: 55, Gen. Max Repeated: 9
Gen: 136. Avg: 47, Gen Max: 51, Max: 55, Gen. Max Repeated: 10
Gen: 137. Avg: 47, Gen Max: 51, Max: 55, Gen. Max Repeated: 11
Gen: 138. Avg: 48, Gen Max: 51, Max: 55, Gen. Max Repeated: 12
Gen: 139. Avg: 48, Gen Max: 52, Max: 55, Gen. Max Repeated: 13
Gen: 140. Avg: 49, Gen Max: 52, Max: 55, Gen. Max Repeated: 1
Gen: 141. Avg: 49, Gen Max: 52, Max: 55, Gen. Max Repeated: 2
Gen: 142. Avg: 49, Gen Max: 52, Max: 55, Gen. Max Repeated: 3
Gen: 143. Avg: 49, Gen Max: 52, Max: 55, Gen. Max Repeated: 4
Gen: 144. Avg: 50, Gen Max: 52, Max: 55, Gen. Max Repeated: 5
Gen: 145. Avg: 50, Gen Max: 52, Max: 55, Gen. Max Repeated: 6
Gen: 146. Avg: 50, Gen Max: 52, Max: 55, Gen. Max Repeated: 7
Gen: 147. Avg: 50, Gen Max: 52, Max: 55, Gen. Max Repeated: 8
Gen: 148. Avg: 50, Gen Max: 52, Max: 55, Gen. Max Repeated: 9
Gen: 149. Avg: 50, Gen Max: 52, Max: 55, Gen. Max Repeated: 10
Gen: 150. Avg: 50, Gen Max: 52, Max: 55, Gen. Max Repeated: 11
Gen: 151. Avg: 50, Gen Max: 52, Max: 55, Gen. Max Repeated: 12
