Gen: 0. Avg: 31, Gen Max: 34, Max: 34, Gen. Max Repeated: 1
Gen: 1. Avg: 31, Gen Max: 34, Max: 34, Gen. Max Repeated: 1
Gen: 2. Avg: 32, Gen Max: 34, Max: 34, Gen. Max Repeated: 2
Gen: 3. Avg: 32, Gen Max: 34, Max: 34, Gen. Max Repeated: 3
Gen: 4. Avg: 32, Gen Max: 34, Max: 34, Gen. Max Repeated: 4
Gen: 5. Avg: 32, Gen Max: 34, Max: 34, Gen. Max Repeated: 5
Gen: 6. Avg: 32, Gen Max: 34, Max: 34, Gen. Max Repeated: 6
Gen: 7. Avg: 32, Gen Max: 34, Max: 34, Gen. Max Repeated: 7
Gen: 8. Avg: 32, Gen Max: 34, Max: 34, Gen. Max Repeated: 8
Gen: 9. Avg: 32, Gen Max: 34, Max: 34, Gen. Max Repeated: 9
Gen: 10. Avg: 32, Gen Max: 35, Max: 35, Gen. Max Repeated: 10
Gen: 11. Avg: 32, Gen Max: 35, Max: 35, Gen. Max Repeated: 1
Gen: 12. Avg: 32, Gen Max: 35, Max: 35, Gen. Max Repeated: 2
Gen: 13. Avg: 32, Gen Max: 35, Max: 35, Gen. Max Repeated: 3
Gen: 14. Avg: 32, Gen Max: 35, Max: 35, Gen. Max Repeated: 4
Gen: 15. Avg: 32, Gen Max: 35, Max: 35, Gen. Max Repeated: 5
Gen: 16. Avg: 33, Gen Max: 35, Max: 35, Gen. Max Repeated: 6
Gen: 17. Avg: 33, Gen Max: 35, Max: 35, Gen. Max Repeated: 7
Gen: 18. Avg: 33, Gen Max: 35, Max: 35, Gen. Max Repeated: 8
Gen: 19. Avg: 33, Gen Max: 35, Max: 35, Gen. Max Repeated: 9
Gen: 20. Avg: 33, Gen Max: 36, Max: 36, Gen. Max Repeated: 10
Gen: 21. Avg: 33, Gen Max: 36, Max: 36, Gen. Max Repeated: 1
Gen: 22. Avg: 34, Gen Max: 36, Max: 36, Gen. Max Repeated: 2
Gen: 23. Avg: 34, Gen Max: 37, Max: 37, Gen. Max Repeated: 3
Gen: 24. Avg: 34, Gen Max: 37, Max: 37, Gen. Max Repeated: 1
Gen: 25. Avg: 35, Gen Max: 37, Max: 37, Gen. Max Repeated: 2
Gen: 26. Avg: 35, Gen Max: 37, Max: 37, Gen. Max Repeated: 3
Gen: 27. Avg: 35, Gen Max: 37, Max: 37, Gen. Max Repeated: 4
Gen: 28. Avg: 35, Gen Max: 37, Max: 37, Gen. Max Repeated: 5
Gen: 29. Avg: 35, Gen Max: 37, Max: 37, Gen. Max Repeated: 6
Gen: 30. Avg: 35, Gen Max: 37, Max: 37, Gen. Max Repeated: 7
Gen: 31. Avg: 35, Gen Max: 37, Max: 37, Gen. Max Repeated: 8
Gen: 32. Avg: 36, Gen Max: 38, Max: 38, Gen. Max Repeated: 9
Gen: 33. Avg: 36, Gen Max: 38, Max: 38, Gen. Max Repeated: 1
Gen: 34. Avg: 36, Gen Max: 38, Max: 38, Gen. Max Repeated: 2
Gen: 35. Avg: 36, Gen Max: 38, Max: 38, Gen. Max Repeated: 3
Gen: 36. Avg: 37, Gen Max: 38, Max: 38, Gen. Max Repeated: 4
Gen: 37. Avg: 36, Gen Max: 38, Max: 38, Gen. Max Repeated: 5
Gen: 38. Avg: 36, Gen Max: 38, Max: 38, Gen. Max Repeated: 6
Gen: 39. Avg: 36, Gen Max: 38, Max: 38, Gen. Max Repeated: 7
Gen: 40. Avg: 36, Gen Max: 38, Max: 38, Gen. Max Repeated: 8
Gen: 41. Avg: 36, Gen Max: 38, Max: 38, Gen. Max Repeated: 9
Gen: 42. Avg: 37, Gen Max: 38, Max: 38, Gen. Max Repeated: 10
Gen: 43. Avg: 37, Gen Max: 38, Max: 38, Gen. Max Repeated: 11
Gen: 44. Avg: 37, Gen Max: 38, Max: 38, Gen. Max Repeated: 12
Gen: 45. Avg: 37, Gen Max: 38, Max: 38, Gen. Max Repeated: 13
Gen: 46. Avg: 38, Gen Max: 38, Max: 38, Gen. Max Repeated: 14
Gen: 47. Avg: 37, Gen Max: 38, Max: 38, Gen. Max Repeated: 15
Gen: 48. Avg: 37, Gen Max: 38, Max: 38, Gen. Max Repeated: 16
Gen: 49. Avg: 37, Gen Max: 38, Max: 38, Gen. Max Repeated: 17
Gen: 50. Avg: 37, Gen Max: 38, Max: 38, Gen. Max Repeated: 18
Gen: 51. Avg: 37, Gen Max: 38, Max: 38, Gen. Max Repeated: 19
Regenerating population
Gen: 52. Avg: 31, Gen Max: 33, Max: 38, Gen. Max Repeated: 1
Gen: 53. Avg: 31, Gen Max: 34, Max: 38, Gen. Max Repeated: 1
Gen: 54. Avg: 32, Gen Max: 35, Max: 38, Gen. Max Repeated: 1
Gen: 55. Avg: 32, Gen Max: 35, Max: 38, Gen. Max Repeated: 1
Gen: 56. Avg: 32, Gen Max: 35, Max: 38, Gen. Max Repeated: 2
Gen: 57. Avg: 32, Gen Max: 35, Max: 38, Gen. Max Repeated: 3
Gen: 58. Avg: 32, Gen Max: 35, Max: 38, Gen. Max Repeated: 4
Gen: 59. Avg: 32, Gen Max: 35, Max: 38, Gen. Max Repeated: 5
Gen: 60. Avg: 32, Gen Max: 35, Max: 38, Gen. Max Repeated: 6
Gen: 61. Avg: 32, Gen Max: 35, Max: 38, Gen. Max Repeated: 7
Gen: 62. Avg: 32, Gen Max: 35, Max: 38, Gen. Max Repeated: 8
