Gen: 0. Avg: 45, Gen Max: 49, Max: 49, Gen. Max Repeated: 1
Gen: 1. Avg: 46, Gen Max: 50, Max: 50, Gen. Max Repeated: 1
Gen: 2. Avg: 46, Gen Max: 50, Max: 50, Gen. Max Repeated: 1
Gen: 3. Avg: 46, Gen Max: 50, Max: 50, Gen. Max Repeated: 2
Gen: 4. Avg: 47, Gen Max: 51, Max: 51, Gen. Max Repeated: 3
Gen: 5. Avg: 47, Gen Max: 51, Max: 51, Gen. Max Repeated: 1
Gen: 6. Avg: 47, Gen Max: 51, Max: 51, Gen. Max Repeated: 2
Gen: 7. Avg: 48, Gen Max: 53, Max: 53, Gen. Max Repeated: 3
Gen: 8. Avg: 48, Gen Max: 53, Max: 53, Gen. Max Repeated: 1
Gen: 9. Avg: 48, Gen Max: 53, Max: 53, Gen. Max Repeated: 2
Gen: 10. Avg: 48, Gen Max: 53, Max: 53, Gen. Max Repeated: 3
Gen: 11. Avg: 48, Gen Max: 53, Max: 53, Gen. Max Repeated: 4
Gen: 12. Avg: 48, Gen Max: 53, Max: 53, Gen. Max Repeated: 5
Gen: 13. Avg: 49, Gen Max: 53, Max: 53, Gen. Max Repeated: 6
Gen: 14. Avg: 49, Gen Max: 53, Max: 53, Gen. Max Repeated: 7
Gen: 15. Avg: 49, Gen Max: 54, Max: 54, Gen. Max Repeated: 8
Gen: 16. Avg: 51, Gen Max: 55, Max: 55, Gen. Max Repeated: 1
Gen: 17. Avg: 51, Gen Max: 55, Max: 55, Gen. Max Repeated: 1
Gen: 18. Avg: 52, Gen Max: 56, Max: 56, Gen. Max Repeated: 2
Gen: 19. Avg: 53, Gen Max: 56, Max: 56, Gen. Max Repeated: 1
Gen: 20. Avg: 54, Gen Max: 56, Max: 56, Gen. Max Repeated: 2
Gen: 21. Avg: 54, Gen Max: 56, Max: 56, Gen. Max Repeated: 3
Gen: 22. Avg: 54, Gen Max: 56, Max: 56, Gen. Max Repeated: 4
Gen: 23. Avg: 55, Gen Max: 56, Max: 56, Gen. Max Repeated: 5
Gen: 24. Avg: 54, Gen Max: 56, Max: 56, Gen. Max Repeated: 6
Gen: 25. Avg: 55, Gen Max: 56, Max: 56, Gen. Max Repeated: 7
Gen: 26. Avg: 55, Gen Max: 56, Max: 56, Gen. Max Repeated: 8
Gen: 27. Avg: 55, Gen Max: 56, Max: 56, Gen. Max Repeated: 9
Gen: 28. Avg: 55, Gen Max: 56, Max: 56, Gen. Max Repeated: 10
Gen: 29. Avg: 55, Gen Max: 56, Max: 56, Gen. Max Repeated: 11
Gen: 30. Avg: 55, Gen Max: 56, Max: 56, Gen. Max Repeated: 12
Gen: 31. Avg: 56, Gen Max: 56, Max: 56, Gen. Max Repeated: 13
Gen: 32. Avg: 56, Gen Max: 56, Max: 56, Gen. Max Repeated: 14
Gen: 33. Avg: 56, Gen Max: 56, Max: 56, Gen. Max Repeated: 15
Gen: 34. Avg: 55, Gen Max: 56, Max: 56, Gen. Max Repeated: 16
Gen: 35. Avg: 56, Gen Max: 56, Max: 56, Gen. Max Repeated: 17
Gen: 36. Avg: 56, Gen Max: 56, Max: 56, Gen. Max Repeated: 18
Gen: 37. Avg: 55, Gen Max: 56, Max: 56, Gen. Max Repeated: 19
Regenerating population
Gen: 38. Avg: 45, Gen Max: 48, Max: 56, Gen. Max Repeated: 1
Gen: 39. Avg: 46, Gen Max: 49, Max: 56, Gen. Max Repeated: 1
Gen: 40. Avg: 46, Gen Max: 50, Max: 56, Gen. Max Repeated: 1
Gen: 41. Avg: 47, Gen Max: 51, Max: 56, Gen. Max Repeated: 1
Gen: 42. Avg: 47, Gen Max: 51, Max: 56, Gen. Max Repeated: 1
Gen: 43. Avg: 47, Gen Max: 51, Max: 56, Gen. Max Repeated: 2
Gen: 44. Avg: 47, Gen Max: 51, Max: 56, Gen. Max Repeated: 3
Gen: 45. Avg: 47, Gen Max: 51, Max: 56, Gen. Max Repeated: 4
Gen: 46. Avg: 47, Gen Max: 53, Max: 56, Gen. Max Repeated: 5
Gen: 47. Avg: 48, Gen Max: 53, Max: 56, Gen. Max Repeated: 1
Gen: 48. Avg: 48, Gen Max: 54, Max: 56, Gen. Max Repeated: 2
Gen: 49. Avg: 49, Gen Max: 54, Max: 56, Gen. Max Repeated: 1
Gen: 50. Avg: 49, Gen Max: 54, Max: 56, Gen. Max Repeated: 2
Gen: 51. Avg: 49, Gen Max: 54, Max: 56, Gen. Max Repeated: 3
Gen: 52. Avg: 50, Gen Max: 54, Max: 56, Gen. Max Repeated: 4
Gen: 53. Avg: 50, Gen Max: 54, Max: 56, Gen. Max Repeated: 5
Gen: 54. Avg: 50, Gen Max: 54, Max: 56, Gen. Max Repeated: 6
Gen: 55. Avg: 51, Gen Max: 54, Max: 56, Gen. Max Repeated: 7
Gen: 56. Avg: 51, Gen Max: 54, Max: 56, Gen. Max Repeated: 8
Gen: 57. Avg: 51, Gen Max: 54, Max: 56, Gen. Max Repeated: 9
Gen: 58. Avg: 50, Gen Max: 55, Max: 56, Gen. Max Repeated: 10
Gen: 59. Avg: 51, Gen Max: 55, Max: 56, Gen. Max Repeated: 1
Gen: 60. Avg: 51, Gen Max: 55, Max: 56, Gen. Max Repeated: 2
Gen: 61. Avg: 52, Gen Max: 56, Max: 56, Gen. Max Repeated: 3
Gen: 62. Avg: 52, Gen Max: 56, Max: 56, Gen. Max Repeated: 1
Gen: 63. Avg: 53, Gen Max: 56, Max: 56, Gen. Max Repeated: 2
Gen: 64. Avg: 54, Gen Max: 56, Max: 56, Gen. Max Repeated: 3
Gen: 65. Avg: 54, Gen Max: 56, Max: 56, Gen. Max Repeated: 4
Gen: 66. Avg: 54, Gen Max: 56, Max: 56, Gen. Max Repeated: 5
Gen: 67. Avg: 55, Gen Max: 56, Max: 56, Gen. Max Repeated: 6
Gen: 68. Avg: 55, Gen Max: 56, Max: 56, Gen. Max Repeated: 7
Gen: 69. Avg: 55, Gen Max: 56, Max: 56, Gen. Max Repeated: 8
Gen: 70. Avg: 55, Gen Max: 56, Max: 56, Gen. Max Repeated: 9
Gen: 71. Avg: 55, Gen Max: 56, Max: 56, Gen. Max Repeated: 10
Gen: 72. Avg: 55, Gen Max: 56, Max: 56, Gen. Max Repeated: 11
Gen: 73. Avg: 55, Gen Max: 56, Max: 56, Gen. Max Repeated: 12
Gen: 74. Avg: 55, Gen Max: 56, Max: 56, Gen. Max Repeated: 13
Gen: 75. Avg: 56, Gen Max: 56, Max: 56, Gen. Max Repeated: 14
Gen: 76. Avg: 55, Gen Max: 56, Max: 56, Gen. Max Repeated: 15
Gen: 77. Avg: 55, Gen Max: 56, Max: 56, Gen. Max Repeated: 16
Gen: 78. Avg: 55, Gen Max: 56, Max: 56, Gen. Max Repeated: 17
Gen: 79. Avg: 55, Gen Max: 56, Max: 56, Gen. Max Repeated: 18
Gen: 80. Avg: 55, Gen Max: 56, Max: 56, Gen. Max Repeated: 19
Regenerating population
Gen: 81. Avg: 45, Gen Max: 48, Max: 56, Gen. Max Repeated: 1
Gen: 82. Avg: 46, Gen Max: 49, Max: 56, Gen. Max Repeated: 1
Gen: 83. Avg: 46, Gen Max: 50, Max: 56, Gen. Max Repeated: 1
Gen: 84. Avg: 47, Gen Max: 52, Max: 56, Gen. Max Repeated: 1
Gen: 85. Avg: 47, Gen Max: 52, Max: 56, Gen. Max Repeated: 1
Gen: 86. Avg: 47, Gen Max: 52, Max: 56, Gen. Max Repeated: 2
Gen: 87. Avg: 48, Gen Max: 52, Max: 56, Gen. Max Repeated: 3
Gen: 88. Avg: 48, Gen Max: 53, Max: 56, Gen. Max Repeated: 4
Gen: 89. Avg: 48, Gen Max: 53, Max: 56, Gen. Max Repeated: 1
Gen: 90. Avg: 48, Gen Max: 53, Max: 56, Gen. Max Repeated: 2
Gen: 91. Avg: 49, Gen Max: 53, Max: 56, Gen. Max Repeated: 3
Gen: 92. Avg: 48, Gen Max: 53, Max: 56, Gen. Max Repeated: 4
Gen: 93. Avg: 49, Gen Max: 55, Max: 56, Gen. Max Repeated: 5
Gen: 94. Avg: 50, Gen Max: 55, Max: 56, Gen. Max Repeated: 1
