Gen: 0. Avg: 12, Gen Max: 14, Max: 14, Gen. Max Repeated: 1
Gen: 1. Avg: 13, Gen Max: 14, Max: 14, Gen. Max Repeated: 1
Gen: 2. Avg: 13, Gen Max: 14, Max: 14, Gen. Max Repeated: 2
Gen: 3. Avg: 13, Gen Max: 14, Max: 14, Gen. Max Repeated: 3
Gen: 4. Avg: 13, Gen Max: 14, Max: 14, Gen. Max Repeated: 4
Gen: 5. Avg: 13, Gen Max: 14, Max: 14, Gen. Max Repeated: 5
Gen: 6. Avg: 13, Gen Max: 14, Max: 14, Gen. Max Repeated: 6
Gen: 7. Avg: 13, Gen Max: 14, Max: 14, Gen. Max Repeated: 7
Gen: 8. Avg: 13, Gen Max: 14, Max: 14, Gen. Max Repeated: 8
Gen: 9. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 9
Gen: 10. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 1
Gen: 11. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 2
Gen: 12. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 3
Gen: 13. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 4
Gen: 14. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 5
Gen: 15. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 6
Gen: 16. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 7
Gen: 17. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 8
Gen: 18. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 9
Gen: 19. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 10
Gen: 20. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 11
Gen: 21. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 12
Gen: 22. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 13
Gen: 23. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 14
Gen: 24. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 15
Gen: 25. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 16
Gen: 26. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 17
Gen: 27. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 18
Gen: 28. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 19
Regenerating population
Gen: 29. Avg: 12, Gen Max: 14, Max: 15, Gen. Max Repeated: 1
Gen: 30. Avg: 12, Gen Max: 14, Max: 15, Gen. Max Repeated: 1
Gen: 31. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 2
Gen: 32. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 3
Gen: 33. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 4
Gen: 34. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 5
Gen: 35. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 6
Gen: 36. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 7
Gen: 37. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 8
Gen: 38. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 9
Gen: 39. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 10
Gen: 40. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 11
Gen: 41. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 12
Gen: 42. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 13
Gen: 43. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 14
Gen: 44. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 15
Gen: 45. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 16
Gen: 46. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 17
Gen: 47. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 18
Gen: 48. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 19
Regenerating population
Gen: 49. Avg: 12, Gen Max: 14, Max: 15, Gen. Max Repeated: 1
Gen: 50. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 2
Gen: 51. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 1
Gen: 52. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 2
Gen: 53. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 3
Gen: 54. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 4
Gen: 55. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 5
Gen: 56. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 6
Gen: 57. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 7
Gen: 58. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 8
Gen: 59. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 9
Gen: 60. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 10
Gen: 61. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 11
Gen: 62. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 12
Gen: 63. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 13
Gen: 64. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 14
Gen: 65. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 15
Gen: 66. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 16
Gen: 67. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 17
Gen: 68. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 18
Gen: 69. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 19
Regenerating population
Gen: 70. Avg: 12, Gen Max: 14, Max: 15, Gen. Max Repeated: 1
Gen: 71. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 1
Gen: 72. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 2
Gen: 73. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 3
Gen: 74. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 4
Gen: 75. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 5
Gen: 76. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 6
Gen: 77. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 7
