Gen: 0. Avg: 17, Gen Max: 19, Max: 19, Gen. Max Repeated: 1
Gen: 1. Avg: 17, Gen Max: 19, Max: 19, Gen. Max Repeated: 1
Gen: 2. Avg: 17, Gen Max: 19, Max: 19, Gen. Max Repeated: 2
Gen: 3. Avg: 18, Gen Max: 19, Max: 19, Gen. Max Repeated: 3
Gen: 4. Avg: 18, Gen Max: 19, Max: 19, Gen. Max Repeated: 4
Gen: 5. Avg: 18, Gen Max: 19, Max: 19, Gen. Max Repeated: 5
Gen: 6. Avg: 18, Gen Max: 19, Max: 19, Gen. Max Repeated: 6
Gen: 7. Avg: 18, Gen Max: 19, Max: 19, Gen. Max Repeated: 7
Gen: 8. Avg: 18, Gen Max: 19, Max: 19, Gen. Max Repeated: 8
Gen: 9. Avg: 18, Gen Max: 19, Max: 19, Gen. Max Repeated: 9
Gen: 10. Avg: 18, Gen Max: 20, Max: 20, Gen. Max Repeated: 10
Gen: 11. Avg: 18, Gen Max: 20, Max: 20, Gen. Max Repeated: 1
Gen: 12. Avg: 18, Gen Max: 20, Max: 20, Gen. Max Repeated: 2
Gen: 13. Avg: 18, Gen Max: 20, Max: 20, Gen. Max Repeated: 3
Gen: 14. Avg: 19, Gen Max: 20, Max: 20, Gen. Max Repeated: 4
Gen: 15. Avg: 18, Gen Max: 20, Max: 20, Gen. Max Repeated: 5
Gen: 16. Avg: 18, Gen Max: 20, Max: 20, Gen. Max Repeated: 6
Gen: 17. Avg: 18, Gen Max: 20, Max: 20, Gen. Max Repeated: 7
Gen: 18. Avg: 19, Gen Max: 20, Max: 20, Gen. Max Repeated: 8
Gen: 19. Avg: 19, Gen Max: 20, Max: 20, Gen. Max Repeated: 9
Gen: 20. Avg: 19, Gen Max: 20, Max: 20, Gen. Max Repeated: 10
Gen: 21. Avg: 19, Gen Max: 20, Max: 20, Gen. Max Repeated: 11
Gen: 22. Avg: 19, Gen Max: 20, Max: 20, Gen. Max Repeated: 12
Gen: 23. Avg: 19, Gen Max: 20, Max: 20, Gen. Max Repeated: 13
Gen: 24. Avg: 19, Gen Max: 20, Max: 20, Gen. Max Repeated: 14
Gen: 25. Avg: 19, Gen Max: 20, Max: 20, Gen. Max Repeated: 15
Gen: 26. Avg: 19, Gen Max: 20, Max: 20, Gen. Max Repeated: 16
Gen: 27. Avg: 19, Gen Max: 20, Max: 20, Gen. Max Repeated: 17
Gen: 28. Avg: 19, Gen Max: 20, Max: 20, Gen. Max Repeated: 18
Gen: 29. Avg: 19, Gen Max: 20, Max: 20, Gen. Max Repeated: 19
Regenerating population
Gen: 30. Avg: 17, Gen Max: 19, Max: 20, Gen. Max Repeated: 1
Gen: 31. Avg: 17, Gen Max: 19, Max: 20, Gen. Max Repeated: 1
