Gen: 0. Avg: 9, Gen Max: 11, Max: 11, Gen. Max Repeated: 1
Gen: 1. Avg: 10, Gen Max: 15, Max: 15, Gen. Max Repeated: 1
Gen: 2. Avg: 10, Gen Max: 15, Max: 15, Gen. Max Repeated: 1
Gen: 3. Avg: 10, Gen Max: 15, Max: 15, Gen. Max Repeated: 2
Gen: 4. Avg: 10, Gen Max: 15, Max: 15, Gen. Max Repeated: 3
Gen: 5. Avg: 10, Gen Max: 15, Max: 15, Gen. Max Repeated: 4
Gen: 6. Avg: 10, Gen Max: 15, Max: 15, Gen. Max Repeated: 5
Gen: 7. Avg: 11, Gen Max: 15, Max: 15, Gen. Max Repeated: 6
Gen: 8. Avg: 12, Gen Max: 15, Max: 15, Gen. Max Repeated: 7
Gen: 9. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 8
Gen: 10. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 9
Gen: 11. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 10
Gen: 12. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 11
Gen: 13. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 12
Gen: 14. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 13
Gen: 15. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 14
Gen: 16. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 15
Gen: 17. Avg: 15, Gen Max: 15, Max: 15, Gen. Max Repeated: 16
Gen: 18. Avg: 15, Gen Max: 15, Max: 15, Gen. Max Repeated: 17
Gen: 19. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 18
Gen: 20. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 19
Regenerating population
Gen: 21. Avg: 9, Gen Max: 10, Max: 15, Gen. Max Repeated: 1
Gen: 22. Avg: 9, Gen Max: 10, Max: 15, Gen. Max Repeated: 1
Gen: 23. Avg: 9, Gen Max: 10, Max: 15, Gen. Max Repeated: 2
Gen: 24. Avg: 9, Gen Max: 10, Max: 15, Gen. Max Repeated: 3
Gen: 25. Avg: 9, Gen Max: 10, Max: 15, Gen. Max Repeated: 4
Gen: 26. Avg: 9, Gen Max: 10, Max: 15, Gen. Max Repeated: 5
Gen: 27. Avg: 10, Gen Max: 15, Max: 15, Gen. Max Repeated: 6
Gen: 28. Avg: 10, Gen Max: 15, Max: 15, Gen. Max Repeated: 1
Gen: 29. Avg: 10, Gen Max: 15, Max: 15, Gen. Max Repeated: 2
Gen: 30. Avg: 10, Gen Max: 15, Max: 15, Gen. Max Repeated: 3
Gen: 31. Avg: 12, Gen Max: 15, Max: 15, Gen. Max Repeated: 4
Gen: 32. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 5
Gen: 33. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 6
Gen: 34. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 7
Gen: 35. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 8
Gen: 36. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 9
Gen: 37. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 10
Gen: 38. Avg: 15, Gen Max: 15, Max: 15, Gen. Max Repeated: 11
Gen: 39. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 12
Gen: 40. Avg: 15, Gen Max: 15, Max: 15, Gen. Max Repeated: 13
Gen: 41. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 14
Gen: 42. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 15
Gen: 43. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 16
Gen: 44. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 17
Gen: 45. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 18
Gen: 46. Avg: 15, Gen Max: 15, Max: 15, Gen. Max Repeated: 19
Regenerating population
Gen: 47. Avg: 10, Gen Max: 15, Max: 15, Gen. Max Repeated: 1
Gen: 48. Avg: 10, Gen Max: 15, Max: 15, Gen. Max Repeated: 2
Gen: 49. Avg: 10, Gen Max: 15, Max: 15, Gen. Max Repeated: 3
Gen: 50. Avg: 10, Gen Max: 15, Max: 15, Gen. Max Repeated: 4
Gen: 51. Avg: 10, Gen Max: 15, Max: 15, Gen. Max Repeated: 5
Gen: 52. Avg: 11, Gen Max: 15, Max: 15, Gen. Max Repeated: 6
Gen: 53. Avg: 12, Gen Max: 15, Max: 15, Gen. Max Repeated: 7
Gen: 54. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 8
Gen: 55. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 9
Gen: 56. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 10
Gen: 57. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 11
Gen: 58. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 12
Gen: 59. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 13
Gen: 60. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 14
Gen: 61. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 15
Gen: 62. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 16
Gen: 63. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 17
Gen: 64. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 18
Gen: 65. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 19
Regenerating population
Gen: 66. Avg: 9, Gen Max: 10, Max: 15, Gen. Max Repeated: 1
Gen: 67. Avg: 9, Gen Max: 10, Max: 15, Gen. Max Repeated: 1
Gen: 68. Avg: 9, Gen Max: 10, Max: 15, Gen. Max Repeated: 2
Gen: 69. Avg: 9, Gen Max: 10, Max: 15, Gen. Max Repeated: 3
Gen: 70. Avg: 9, Gen Max: 10, Max: 15, Gen. Max Repeated: 4
Gen: 71. Avg: 10, Gen Max: 13, Max: 15, Gen. Max Repeated: 5
Gen: 72. Avg: 10, Gen Max: 15, Max: 15, Gen. Max Repeated: 1
Gen: 73. Avg: 10, Gen Max: 15, Max: 15, Gen. Max Repeated: 1
Gen: 74. Avg: 10, Gen Max: 15, Max: 15, Gen. Max Repeated: 2
Gen: 75. Avg: 10, Gen Max: 15, Max: 15, Gen. Max Repeated: 3
Gen: 76. Avg: 10, Gen Max: 15, Max: 15, Gen. Max Repeated: 4
Gen: 77. Avg: 10, Gen Max: 15, Max: 15, Gen. Max Repeated: 5
Gen: 78. Avg: 10, Gen Max: 15, Max: 15, Gen. Max Repeated: 6
Gen: 79. Avg: 11, Gen Max: 15, Max: 15, Gen. Max Repeated: 7
Gen: 80. Avg: 12, Gen Max: 15, Max: 15, Gen. Max Repeated: 8
Gen: 81. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 9
Gen: 82. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 10
