Gen: 0. Avg: 35, Gen Max: 40, Max: 40, Gen. Max Repeated: 1
Gen: 1. Avg: 36, Gen Max: 40, Max: 40, Gen. Max Repeated: 1
Gen: 2. Avg: 37, Gen Max: 40, Max: 40, Gen. Max Repeated: 2
Gen: 3. Avg: 37, Gen Max: 41, Max: 41, Gen. Max Repeated: 3
Gen: 4. Avg: 38, Gen Max: 41, Max: 41, Gen. Max Repeated: 1
Gen: 5. Avg: 38, Gen Max: 42, Max: 42, Gen. Max Repeated: 2
Gen: 6. Avg: 39, Gen Max: 42, Max: 42, Gen. Max Repeated: 1
Gen: 7. Avg: 39, Gen Max: 42, Max: 42, Gen. Max Repeated: 2
Gen: 8. Avg: 40, Gen Max: 42, Max: 42, Gen. Max Repeated: 3
Gen: 9. Avg: 40, Gen Max: 42, Max: 42, Gen. Max Repeated: 4
Gen: 10. Avg: 41, Gen Max: 42, Max: 42, Gen. Max Repeated: 5
Gen: 11. Avg: 41, Gen Max: 42, Max: 42, Gen. Max Repeated: 6
Gen: 12. Avg: 41, Gen Max: 42, Max: 42, Gen. Max Repeated: 7
Gen: 13. Avg: 41, Gen Max: 42, Max: 42, Gen. Max Repeated: 8
Gen: 14. Avg: 41, Gen Max: 42, Max: 42, Gen. Max Repeated: 9
Gen: 15. Avg: 41, Gen Max: 42, Max: 42, Gen. Max Repeated: 10
Gen: 16. Avg: 41, Gen Max: 42, Max: 42, Gen. Max Repeated: 11
Gen: 17. Avg: 42, Gen Max: 42, Max: 42, Gen. Max Repeated: 12
Gen: 18. Avg: 42, Gen Max: 42, Max: 42, Gen. Max Repeated: 13
Gen: 19. Avg: 41, Gen Max: 42, Max: 42, Gen. Max Repeated: 14
Gen: 20. Avg: 41, Gen Max: 42, Max: 42, Gen. Max Repeated: 15
Gen: 21. Avg: 41, Gen Max: 42, Max: 42, Gen. Max Repeated: 16
Gen: 22. Avg: 41, Gen Max: 42, Max: 42, Gen. Max Repeated: 17
Gen: 23. Avg: 41, Gen Max: 42, Max: 42, Gen. Max Repeated: 18
Gen: 24. Avg: 41, Gen Max: 42, Max: 42, Gen. Max Repeated: 19
Regenerating population
Gen: 25. Avg: 35, Gen Max: 38, Max: 42, Gen. Max Repeated: 1
Gen: 26. Avg: 36, Gen Max: 40, Max: 42, Gen. Max Repeated: 1
Gen: 27. Avg: 37, Gen Max: 41, Max: 42, Gen. Max Repeated: 1
Gen: 28. Avg: 38, Gen Max: 41, Max: 42, Gen. Max Repeated: 1
Gen: 29. Avg: 38, Gen Max: 42, Max: 42, Gen. Max Repeated: 2
Gen: 30. Avg: 39, Gen Max: 42, Max: 42, Gen. Max Repeated: 1
