Gen: 1. Avg: 12, Gen Max: 14, Max: 14, Gen. Max Repeated: 0
Gen: 2. Avg: 13, Gen Max: 14, Max: 14, Gen. Max Repeated: 1
Gen: 3. Avg: 13, Gen Max: 14, Max: 14, Gen. Max Repeated: 2
Gen: 4. Avg: 13, Gen Max: 14, Max: 14, Gen. Max Repeated: 3
Gen: 5. Avg: 13, Gen Max: 14, Max: 14, Gen. Max Repeated: 4
Gen: 6. Avg: 13, Gen Max: 14, Max: 14, Gen. Max Repeated: 5
Gen: 7. Avg: 13, Gen Max: 14, Max: 14, Gen. Max Repeated: 6
Gen: 8. Avg: 13, Gen Max: 14, Max: 14, Gen. Max Repeated: 7
Gen: 9. Avg: 13, Gen Max: 14, Max: 14, Gen. Max Repeated: 8
Gen: 10. Avg: 13, Gen Max: 14, Max: 14, Gen. Max Repeated: 9
Gen: 11. Avg: 13, Gen Max: 14, Max: 14, Gen. Max Repeated: 10
Gen: 12. Avg: 13, Gen Max: 14, Max: 14, Gen. Max Repeated: 11
Gen: 13. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 12
Gen: 14. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 1
Gen: 15. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 2
Gen: 16. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 3
Gen: 17. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 4
Gen: 18. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 5
Gen: 19. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 6
Gen: 20. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 7
Gen: 21. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 8
Gen: 22. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 9
Gen: 23. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 10
Gen: 24. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 11
Gen: 25. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 12
Gen: 26. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 13
Gen: 27. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 14
Gen: 28. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 15
Gen: 29. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 16
Gen: 30. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 17
Gen: 31. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 18
Gen: 32. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 19
Gen: 33. Avg: 15, Gen Max: 15, Max: 15, Gen. Max Repeated: 20
Regenerating population
Gen: 34. Avg: 12, Gen Max: 14, Max: 15, Gen. Max Repeated: 1
Gen: 35. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 1
Gen: 36. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 1
Gen: 37. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 2
Gen: 38. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 3
Gen: 39. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 4
Gen: 40. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 5
Gen: 41. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 6
Gen: 42. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 7
Gen: 43. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 8
Gen: 44. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 9
Gen: 45. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 10
Gen: 46. Avg: 15, Gen Max: 15, Max: 15, Gen. Max Repeated: 11
Gen: 47. Avg: 15, Gen Max: 15, Max: 15, Gen. Max Repeated: 12
Gen: 48. Avg: 15, Gen Max: 15, Max: 15, Gen. Max Repeated: 13
Gen: 49. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 14
Gen: 50. Avg: 15, Gen Max: 15, Max: 15, Gen. Max Repeated: 15
Gen: 51. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 16
Gen: 52. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 17
Gen: 53. Avg: 15, Gen Max: 15, Max: 15, Gen. Max Repeated: 18
Gen: 54. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 19
Gen: 55. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 20
Regenerating population
Gen: 56. Avg: 12, Gen Max: 14, Max: 15, Gen. Max Repeated: 1
Gen: 57. Avg: 12, Gen Max: 14, Max: 15, Gen. Max Repeated: 1
Gen: 58. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 2
Gen: 59. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 3
Gen: 60. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 4
Gen: 61. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 5
Gen: 62. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 1
Gen: 63. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 2
Gen: 64. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 3
Gen: 65. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 4
Gen: 66. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 5
Gen: 67. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 6
Gen: 68. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 7
Gen: 69. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 8
Gen: 70. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 9
Gen: 71. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 10
Gen: 72. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 11
Gen: 73. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 12
Gen: 74. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 13
