Gen: 1. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 0
Gen: 2. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 1
Gen: 3. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 2
Gen: 4. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 3
Gen: 5. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 4
Gen: 6. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 5
Gen: 7. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 6
Gen: 8. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 7
Gen: 9. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 8
Gen: 10. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 9
Gen: 11. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 10
Gen: 12. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 11
Gen: 13. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 12
Gen: 14. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 13
Gen: 15. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 14
Gen: 16. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 15
Gen: 17. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 16
Gen: 18. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 17
Gen: 19. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 18
Gen: 20. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 19
Gen: 21. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 20
Regenerating population
Gen: 22. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 1
Gen: 23. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 2
Gen: 24. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 3
Gen: 25. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 4
Gen: 26. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 5
Gen: 27. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 6
Gen: 28. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 7
Gen: 29. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 8
Gen: 30. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 9
Gen: 31. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 10
Gen: 32. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 11
Gen: 33. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 12
Gen: 34. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 13
Gen: 35. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 14
Gen: 36. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 15
Gen: 37. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 16
Gen: 38. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 17
Gen: 39. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 18
Gen: 40. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 19
Gen: 41. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 20
Regenerating population
Gen: 42. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 1
Gen: 43. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 2
Gen: 44. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 3
Gen: 45. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 4
Gen: 46. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 5
Gen: 47. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 6
Gen: 48. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 7
Gen: 49. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 8
Gen: 50. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 9
Gen: 51. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 10
Gen: 52. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 11
Gen: 53. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 12
Gen: 54. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 13
Gen: 55. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 14
Gen: 56. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 15
Gen: 57. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 16
Gen: 58. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 17
Gen: 59. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 18
Gen: 60. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 19
Gen: 61. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 20
Regenerating population
Gen: 62. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 1
Gen: 63. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 2
Gen: 64. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 3
Gen: 65. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 4
Gen: 66. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 5
Gen: 67. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 6
Gen: 68. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 7
Gen: 69. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 8
Gen: 70. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 9
Gen: 71. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 10
Gen: 72. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 11
Gen: 73. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 12
Gen: 74. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 13
Gen: 75. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 14
Gen: 76. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 15
Gen: 77. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 16
Gen: 78. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 17
Gen: 79. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 18
Gen: 80. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 19
Gen: 81. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 20
Regenerating population
Gen: 82. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 1
Gen: 83. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 2
Gen: 84. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 3
Gen: 85. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 4
Gen: 86. Avg: 24, Gen Max: 24, Max: 24, Gen. Max Repeated: 5
