Gen: 1. Avg: 98, Gen Max: 121, Max: 121, Gen. Max Repeated: 0
Gen: 2. Avg: 123, Gen Max: 128, Max: 128, Gen. Max Repeated: 1
Gen: 3. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 1
Gen: 4. Avg: 128, Gen Max: 128, Max: 128, Gen. Max Repeated: 2
Gen: 5. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 3
Gen: 6. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 4
Gen: 7. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 5
Gen: 8. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 6
Gen: 9. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 7
Gen: 10. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 8
Gen: 11. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 9
Gen: 12. Avg: 128, Gen Max: 128, Max: 128, Gen. Max Repeated: 10
Gen: 13. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 11
Gen: 14. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 12
Gen: 15. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 13
Gen: 16. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 14
Gen: 17. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 15
Gen: 18. Avg: 128, Gen Max: 128, Max: 128, Gen. Max Repeated: 16
Gen: 19. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 17
Gen: 20. Avg: 128, Gen Max: 128, Max: 128, Gen. Max Repeated: 18
Gen: 21. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 19
Gen: 22. Avg: 128, Gen Max: 128, Max: 128, Gen. Max Repeated: 20
Regenerating population
Gen: 23. Avg: 98, Gen Max: 121, Max: 128, Gen. Max Repeated: 1
Gen: 24. Avg: 125, Gen Max: 128, Max: 128, Gen. Max Repeated: 1
Gen: 25. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 1
Gen: 26. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 2
Gen: 27. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 3
Gen: 28. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 4
Gen: 29. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 5
Gen: 30. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 6
Gen: 31. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 7
Gen: 32. Avg: 128, Gen Max: 128, Max: 128, Gen. Max Repeated: 8
Gen: 33. Avg: 128, Gen Max: 128, Max: 128, Gen. Max Repeated: 9
Gen: 34. Avg: 128, Gen Max: 128, Max: 128, Gen. Max Repeated: 10
Gen: 35. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 11
Gen: 36. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 12
Gen: 37. Avg: 128, Gen Max: 128, Max: 128, Gen. Max Repeated: 13
Gen: 38. Avg: 128, Gen Max: 128, Max: 128, Gen. Max Repeated: 14
Gen: 39. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 15
Gen: 40. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 16
Gen: 41. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 17
Gen: 42. Avg: 128, Gen Max: 128, Max: 128, Gen. Max Repeated: 18
Gen: 43. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 19
Gen: 44. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 20
Regenerating population
Gen: 45. Avg: 99, Gen Max: 121, Max: 128, Gen. Max Repeated: 1
Gen: 46. Avg: 124, Gen Max: 128, Max: 128, Gen. Max Repeated: 1
Gen: 47. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 1
Gen: 48. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 2
Gen: 49. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 3
Gen: 50. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 4
Gen: 51. Avg: 128, Gen Max: 128, Max: 128, Gen. Max Repeated: 5
Gen: 52. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 6
Gen: 53. Avg: 128, Gen Max: 128, Max: 128, Gen. Max Repeated: 7
Gen: 54. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 8
Gen: 55. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 9
Gen: 56. Avg: 128, Gen Max: 128, Max: 128, Gen. Max Repeated: 10
Gen: 57. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 11
Gen: 58. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 12
Gen: 59. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 13
Gen: 60. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 14
Gen: 61. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 15
Gen: 62. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 16
Gen: 63. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 17
Gen: 64. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 18
Gen: 65. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 19
Gen: 66. Avg: 128, Gen Max: 128, Max: 128, Gen. Max Repeated: 20
Regenerating population
Gen: 67. Avg: 98, Gen Max: 128, Max: 128, Gen. Max Repeated: 1
Gen: 68. Avg: 125, Gen Max: 128, Max: 128, Gen. Max Repeated: 2
Gen: 69. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 3
Gen: 70. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 4
Gen: 71. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 5
Gen: 72. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 6
Gen: 73. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 7
Gen: 74. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 8
Gen: 75. Avg: 128, Gen Max: 128, Max: 128, Gen. Max Repeated: 9
Gen: 76. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 10
Gen: 77. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 11
Gen: 78. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 12
Gen: 79. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 13
Gen: 80. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 14
Gen: 81. Avg: 128, Gen Max: 128, Max: 128, Gen. Max Repeated: 15
Gen: 82. Avg: 128, Gen Max: 128, Max: 128, Gen. Max Repeated: 16
Gen: 83. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 17
Gen: 84. Avg: 128, Gen Max: 128, Max: 128, Gen. Max Repeated: 18
Gen: 85. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 19
Gen: 86. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 20
Regenerating population
Gen: 87. Avg: 98, Gen Max: 116, Max: 128, Gen. Max Repeated: 1
Gen: 88. Avg: 123, Gen Max: 128, Max: 128, Gen. Max Repeated: 1
Gen: 89. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 1
Gen: 90. Avg: 128, Gen Max: 128, Max: 128, Gen. Max Repeated: 2
Gen: 91. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 3
Gen: 92. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 4
Gen: 93. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 5
Gen: 94. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 6
Gen: 95. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 7
Gen: 96. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 8
Gen: 97. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 9
Gen: 98. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 10
Gen: 99. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 11
Gen: 100. Avg: 128, Gen Max: 128, Max: 128, Gen. Max Repeated: 12
Gen: 101. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 13
Gen: 102. Avg: 128, Gen Max: 128, Max: 128, Gen. Max Repeated: 14
Gen: 103. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 15
Gen: 104. Avg: 128, Gen Max: 128, Max: 128, Gen. Max Repeated: 16
Gen: 105. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 17
Gen: 106. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 18
Gen: 107. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 19
Gen: 108. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 20
Regenerating population
Gen: 109. Avg: 98, Gen Max: 128, Max: 128, Gen. Max Repeated: 1
Gen: 110. Avg: 125, Gen Max: 128, Max: 128, Gen. Max Repeated: 2
