Gen: 1. Avg: 38, Gen Max: 41, Max: 41, Gen. Max Repeated: 0
Gen: 2. Avg: 42, Gen Max: 46, Max: 46, Gen. Max Repeated: 1
Gen: 3. Avg: 44, Gen Max: 49, Max: 49, Gen. Max Repeated: 1
Gen: 4. Avg: 45, Gen Max: 49, Max: 49, Gen. Max Repeated: 1
Gen: 5. Avg: 46, Gen Max: 49, Max: 49, Gen. Max Repeated: 2
Gen: 6. Avg: 47, Gen Max: 49, Max: 49, Gen. Max Repeated: 3
Gen: 7. Avg: 47, Gen Max: 49, Max: 49, Gen. Max Repeated: 4
Gen: 8. Avg: 47, Gen Max: 49, Max: 49, Gen. Max Repeated: 5
Gen: 9. Avg: 48, Gen Max: 49, Max: 49, Gen. Max Repeated: 6
Gen: 10. Avg: 48, Gen Max: 49, Max: 49, Gen. Max Repeated: 7
Gen: 11. Avg: 48, Gen Max: 49, Max: 49, Gen. Max Repeated: 8
Gen: 12. Avg: 48, Gen Max: 50, Max: 50, Gen. Max Repeated: 9
Gen: 13. Avg: 48, Gen Max: 50, Max: 50, Gen. Max Repeated: 1
Gen: 14. Avg: 48, Gen Max: 50, Max: 50, Gen. Max Repeated: 2
Gen: 15. Avg: 48, Gen Max: 50, Max: 50, Gen. Max Repeated: 3
Gen: 16. Avg: 48, Gen Max: 50, Max: 50, Gen. Max Repeated: 4
Gen: 17. Avg: 48, Gen Max: 50, Max: 50, Gen. Max Repeated: 5
Gen: 18. Avg: 48, Gen Max: 50, Max: 50, Gen. Max Repeated: 6
Gen: 19. Avg: 48, Gen Max: 50, Max: 50, Gen. Max Repeated: 7
Gen: 20. Avg: 48, Gen Max: 50, Max: 50, Gen. Max Repeated: 8
Gen: 21. Avg: 48, Gen Max: 50, Max: 50, Gen. Max Repeated: 9
Gen: 22. Avg: 48, Gen Max: 50, Max: 50, Gen. Max Repeated: 10
Gen: 23. Avg: 49, Gen Max: 50, Max: 50, Gen. Max Repeated: 11
Gen: 24. Avg: 49, Gen Max: 50, Max: 50, Gen. Max Repeated: 12
Gen: 25. Avg: 49, Gen Max: 50, Max: 50, Gen. Max Repeated: 13
Gen: 26. Avg: 49, Gen Max: 50, Max: 50, Gen. Max Repeated: 14
Gen: 27. Avg: 49, Gen Max: 50, Max: 50, Gen. Max Repeated: 15
Gen: 28. Avg: 49, Gen Max: 50, Max: 50, Gen. Max Repeated: 16
Gen: 29. Avg: 49, Gen Max: 50, Max: 50, Gen. Max Repeated: 17
Gen: 30. Avg: 50, Gen Max: 50, Max: 50, Gen. Max Repeated: 18
Gen: 31. Avg: 49, Gen Max: 50, Max: 50, Gen. Max Repeated: 19
Gen: 32. Avg: 50, Gen Max: 50, Max: 50, Gen. Max Repeated: 20
Regenerating population
Gen: 33. Avg: 38, Gen Max: 42, Max: 50, Gen. Max Repeated: 1
Gen: 34. Avg: 42, Gen Max: 46, Max: 50, Gen. Max Repeated: 1
Gen: 35. Avg: 44, Gen Max: 48, Max: 50, Gen. Max Repeated: 1
Gen: 36. Avg: 45, Gen Max: 48, Max: 50, Gen. Max Repeated: 1
Gen: 37. Avg: 46, Gen Max: 48, Max: 50, Gen. Max Repeated: 2
Gen: 38. Avg: 47, Gen Max: 49, Max: 50, Gen. Max Repeated: 3
Gen: 39. Avg: 47, Gen Max: 49, Max: 50, Gen. Max Repeated: 1
Gen: 40. Avg: 47, Gen Max: 50, Max: 50, Gen. Max Repeated: 2
Gen: 41. Avg: 48, Gen Max: 50, Max: 50, Gen. Max Repeated: 1
Gen: 42. Avg: 48, Gen Max: 50, Max: 50, Gen. Max Repeated: 2
Gen: 43. Avg: 48, Gen Max: 50, Max: 50, Gen. Max Repeated: 3
Gen: 44. Avg: 48, Gen Max: 50, Max: 50, Gen. Max Repeated: 4
Gen: 45. Avg: 48, Gen Max: 50, Max: 50, Gen. Max Repeated: 5
Gen: 46. Avg: 49, Gen Max: 50, Max: 50, Gen. Max Repeated: 6
Gen: 47. Avg: 49, Gen Max: 50, Max: 50, Gen. Max Repeated: 7
Gen: 48. Avg: 49, Gen Max: 50, Max: 50, Gen. Max Repeated: 8
Gen: 49. Avg: 49, Gen Max: 50, Max: 50, Gen. Max Repeated: 9
Gen: 50. Avg: 49, Gen Max: 50, Max: 50, Gen. Max Repeated: 10
Gen: 51. Avg: 49, Gen Max: 50, Max: 50, Gen. Max Repeated: 11
Gen: 52. Avg: 49, Gen Max: 50, Max: 50, Gen. Max Repeated: 12
Gen: 53. Avg: 50, Gen Max: 50, Max: 50, Gen. Max Repeated: 13
Gen: 54. Avg: 49, Gen Max: 50, Max: 50, Gen. Max Repeated: 14
Gen: 55. Avg: 49, Gen Max: 50, Max: 50, Gen. Max Repeated: 15
Gen: 56. Avg: 49, Gen Max: 50, Max: 50, Gen. Max Repeated: 16
Gen: 57. Avg: 49, Gen Max: 50, Max: 50, Gen. Max Repeated: 17
Gen: 58. Avg: 49, Gen Max: 50, Max: 50, Gen. Max Repeated: 18
Gen: 59. Avg: 49, Gen Max: 50, Max: 50, Gen. Max Repeated: 19
Gen: 60. Avg: 49, Gen Max: 50, Max: 50, Gen. Max Repeated: 20
Regenerating population
Gen: 61. Avg: 38, Gen Max: 43, Max: 50, Gen. Max Repeated: 1
Gen: 62. Avg: 42, Gen Max: 47, Max: 50, Gen. Max Repeated: 1
Gen: 63. Avg: 44, Gen Max: 48, Max: 50, Gen. Max Repeated: 1
Gen: 64. Avg: 45, Gen Max: 50, Max: 50, Gen. Max Repeated: 1
Gen: 65. Avg: 46, Gen Max: 50, Max: 50, Gen. Max Repeated: 1
Gen: 66. Avg: 47, Gen Max: 50, Max: 50, Gen. Max Repeated: 2
Gen: 67. Avg: 47, Gen Max: 50, Max: 50, Gen. Max Repeated: 3
Gen: 68. Avg: 47, Gen Max: 50, Max: 50, Gen. Max Repeated: 4
Gen: 69. Avg: 48, Gen Max: 50, Max: 50, Gen. Max Repeated: 5
Gen: 70. Avg: 48, Gen Max: 50, Max: 50, Gen. Max Repeated: 6
Gen: 71. Avg: 49, Gen Max: 50, Max: 50, Gen. Max Repeated: 7
Gen: 72. Avg: 49, Gen Max: 50, Max: 50, Gen. Max Repeated: 8
Gen: 73. Avg: 49, Gen Max: 50, Max: 50, Gen. Max Repeated: 9
Gen: 74. Avg: 49, Gen Max: 50, Max: 50, Gen. Max Repeated: 10
Gen: 75. Avg: 50, Gen Max: 50, Max: 50, Gen. Max Repeated: 11
