Gen: 1. Avg: 9, Gen Max: 11, Max: 11, Gen. Max Repeated: 0
Gen: 2. Avg: 10, Gen Max: 15, Max: 15, Gen. Max Repeated: 1
Gen: 3. Avg: 10, Gen Max: 15, Max: 15, Gen. Max Repeated: 1
Gen: 4. Avg: 10, Gen Max: 15, Max: 15, Gen. Max Repeated: 2
Gen: 5. Avg: 11, Gen Max: 15, Max: 15, Gen. Max Repeated: 3
Gen: 6. Avg: 12, Gen Max: 15, Max: 15, Gen. Max Repeated: 4
Gen: 7. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 5
Gen: 8. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 6
Gen: 9. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 7
Gen: 10. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 8
Gen: 11. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 9
Gen: 12. Avg: 15, Gen Max: 15, Max: 15, Gen. Max Repeated: 10
Gen: 13. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 11
Gen: 14. Avg: 15, Gen Max: 15, Max: 15, Gen. Max Repeated: 12
Gen: 15. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 13
Gen: 16. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 14
Gen: 17. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 15
Gen: 18. Avg: 15, Gen Max: 15, Max: 15, Gen. Max Repeated: 16
Gen: 19. Avg: 15, Gen Max: 15, Max: 15, Gen. Max Repeated: 17
Gen: 20. Avg: 15, Gen Max: 15, Max: 15, Gen. Max Repeated: 18
Gen: 21. Avg: 15, Gen Max: 15, Max: 15, Gen. Max Repeated: 19
Gen: 22. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 20
Regenerating population
Gen: 23. Avg: 9, Gen Max: 10, Max: 15, Gen. Max Repeated: 1
Gen: 24. Avg: 9, Gen Max: 10, Max: 15, Gen. Max Repeated: 1
Gen: 25. Avg: 10, Gen Max: 15, Max: 15, Gen. Max Repeated: 2
Gen: 26. Avg: 10, Gen Max: 15, Max: 15, Gen. Max Repeated: 1
Gen: 27. Avg: 10, Gen Max: 15, Max: 15, Gen. Max Repeated: 2
Gen: 28. Avg: 10, Gen Max: 15, Max: 15, Gen. Max Repeated: 3
Gen: 29. Avg: 10, Gen Max: 15, Max: 15, Gen. Max Repeated: 4
Gen: 30. Avg: 11, Gen Max: 15, Max: 15, Gen. Max Repeated: 5
Gen: 31. Avg: 12, Gen Max: 15, Max: 15, Gen. Max Repeated: 6
Gen: 32. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 7
Gen: 33. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 8
Gen: 34. Avg: 15, Gen Max: 15, Max: 15, Gen. Max Repeated: 9
Gen: 35. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 10
Gen: 36. Avg: 15, Gen Max: 15, Max: 15, Gen. Max Repeated: 11
Gen: 37. Avg: 15, Gen Max: 15, Max: 15, Gen. Max Repeated: 12
Gen: 38. Avg: 15, Gen Max: 15, Max: 15, Gen. Max Repeated: 13
Gen: 39. Avg: 15, Gen Max: 15, Max: 15, Gen. Max Repeated: 14
Gen: 40. Avg: 15, Gen Max: 15, Max: 15, Gen. Max Repeated: 15
Gen: 41. Avg: 15, Gen Max: 15, Max: 15, Gen. Max Repeated: 16
Gen: 42. Avg: 15, Gen Max: 15, Max: 15, Gen. Max Repeated: 17
Gen: 43. Avg: 15, Gen Max: 15, Max: 15, Gen. Max Repeated: 18
Gen: 44. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 19
Gen: 45. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 20
Regenerating population
Gen: 46. Avg: 9, Gen Max: 10, Max: 15, Gen. Max Repeated: 1
Gen: 47. Avg: 10, Gen Max: 10, Max: 15, Gen. Max Repeated: 1
Gen: 48. Avg: 9, Gen Max: 10, Max: 15, Gen. Max Repeated: 2
Gen: 49. Avg: 9, Gen Max: 10, Max: 15, Gen. Max Repeated: 3
Gen: 50. Avg: 9, Gen Max: 10, Max: 15, Gen. Max Repeated: 4
Gen: 51. Avg: 9, Gen Max: 10, Max: 15, Gen. Max Repeated: 5
Gen: 52. Avg: 9, Gen Max: 10, Max: 15, Gen. Max Repeated: 6
